CTDEEPLablD,AWQ..Station,WaterbodyName,Municipality,DATE_COL,RBV_most_wanted_count
RBV-2023-008,14396,Pine Brook,HADDAM,10/18/2023,4
RBV-2023-035,14435,Salmon Brook,EAST GRANBY,9/2/2023,4
RBV-2023-040,14608,Burlington Fish Hatchery,BURLINGTON,10/14/2023,2
RBV-2023-036,14842,Indian Meadow Brook,WINCHESTER,10/16/2023,8
RBV-2023-029,15313,Harris Brook,SALEM,4/28/2023,4
RBV-2023-019,15314,"Eightmile River, Unnamed tributary to (""PV Brook"")",LYME,10/27/2023,2
RBV-2023-026,15314,"Eightmile River, Unnamed tributary to (""PV Brook"")",LYME,5/5/2023,2
RBV-2023-021,15501,Cedar Pond Brook,LYME,10/27/2023,2
RBV-2023-048,15594,Barrows Brook,VERNON,10/28/2023,3
RBV-2023-043,15680,Beaver Brook,BARKHAMSTED,9/20/2023,5
RBV-2023-003,16121,Flat Brook,EAST HAMPTON,9/16/2023,4
RBV-2023-044,16379,Barbour Brook,CANTON,10/8/2023,1
RBV-2023-042,16861,Moosehorn Brook,GRANBY,10/31/2023,3
RBV-2023-047,16995,Railroad Brook,VERNON,10/28/2023,4
RBV-2023-002,16999,Raymond Brook,HEBRON,10/29/2023,5
RBV-2023-004,17022,Salmon River,COLCHESTER,9/9/2023,4
RBV-2023-053,17322,Fourmile River,EAST LYME,10/24/2023,2
RBV-2023-059,17333,Wood Creek,BETHLEHEM,9/16/2023,8
RBV-2023-014,17650,Peake Brook,WOODSTOCK,10/26/2023,7
RBV-2023-009,17731,Peckham Brook,WOODSTOCK,10/16/2023,5
RBV-2023-012,17867,English Neighborhood Brook,WOODSTOCK,11/12/2023,7
RBV-2023-024,17992,Big Brook,SALEM,9/6/2023,2
RBV-2023-001,18409,Fawn Brook,MARLBOROUGH,10/17/2023,4
RBV-2023-054,18413,Latimer Brook,EAST LYME,10/24/2023,2
RBV-2023-051,18495,Latimer Brook,EAST LYME,10/24/2023,3
RBV-2023-025,18694,Muddy Brook,EAST HADDAM,5/5/2023,4
RBV-2023-055,18821,Baker Brook (East branch headwaters),BOLTON,10/29/2023,0
RBV-2023-005,18871,Moodus River,EAST HADDAM,11/12/2023,4
RBV-2023-045,18922,"Shepaug River, Unnamed Tributary to",WASHINGTON,9/25/2023,2
RBV-2023-032,18961,Fraser Brook,SALEM,4/28/2023,4
RBV-2023-056,18993,East Meadow Brook,WOODBURY,9/16/2023,3
RBV-2023-022,19214,Harris Brook,SALEM,10/27/2023,3
RBV-2023-034,19214,Harris Brook,SALEM,4/28/2023,6
RBV-2023-023,19215,"East Branch Eightmile River, Unnamed tributary to (""Ransom Brook"")",SALEM,4/28/2023,3
RBV-2023-027,19215,"East Branch Eightmile River, Unnamed tributary to (""Ransom Brook"")",SALEM,10/27/2023,3
RBV-2023-006,19455,Blackledge River,MARLBOROUGH,10/17/2023,3
RBV-2023-028,20126,Hedge Brook,EAST HADDAM,11/3/2023,2
RBV-2023-033,20126,Hedge Brook,EAST HADDAM,5/5/2023,3
RBV-2023-058,20154,Reichenback Brook,WOODBURY,9/16/2023,3
RBV-2023-049,20371,Rickenback Brook,VERNON,10/28/2023,1
RBV-2023-007,20373,"Salmon River, Unnamed tributary to",EAST HAMPTON,9/9/2023,4
RBV-2023-052,20375,Cranberry Meadow Brook,EAST LYME,10/31/2023,3
RBV-2023-057,20486,Carmel Hill Brook,WOODBURY,9/17/2023,4
RBV-2023-030,20492,Burnham Brook,EAST HADDAM,5/5/2023,2
RBV-2023-037,20666,"Bunnell Brook, Unnamed tributary to",Burlington,10/4/2023,5
RBV-2023-010,20876,Little Dam Tavern Brook,PUTNAM,11/16/2023,4
RBV-2023-011,20877,Conantville Brook,MANSFIELD,11/15/2023,4
RBV-2023-013,20878,"Cooks Pond outlet; unnamed brook (""Cooktown Pond outlet"")",PRESTON,10/23/2023,0
RBV-2023-015,20879,Scranton Brook,UNION,11/30/2023,9
RBV-2023-016,20880,Safford Brook,WOODSTOCK,11/17/2023,10
RBV-2023-017,20881,Elbow Brook,EAST HAMPTON,10/1/2023,5
RBV-2023-018,20882,Burnham Brook ,EAST HADDAM,11/3/2023,4
RBV-2023-020,20883,Harris Brook ,SALEM,11/3/2023,4
RBV-2023-031,20884,Fraser Brook ,SALEM,11/3/2023,2
RBV-2023-038,20885,NNT to Farmington River,BARKHAMSTED,9/19/2023,5
RBV-2023-039,20886,Thompson Brook,AVON,10/26/2023,2
RBV-2023-041,20887,Morgan Brook,BARKHAMSTED,9/17/2023,5
RBV-2023-046,20888,Brothers Brook,GREENWICH,11/9/2023,0
RBV-2023-050,20889,Greenwich Creek ,GREENWICH,11/28/2023,0
