Waterbody Name,Station ID,Date Collected,Family,Final ID
Barbour Brook,16379,10/8/2023,Perlidae,Acroneuria
Barrow's Brook,15594,10/28/2023,Brachycentridae,Adicrophleps hitchcocki
Barrow's Brook,15594,10/28/2023,Peltoperlidae,Tallaperla
Barrow's Brook,15594,10/28/2023,Rhyacophilidae,Rhyacophila fuscula
Beaver Brook,15680,9/20/2023,Chloroperlidae,Sweltsa
Beaver Brook,15680,9/20/2023,Peltoperlidae,Tallaperla
Beaver Brook,15680,9/20/2023,Perlidae,Acroneuria
Beaver Brook,15680,9/20/2023,Pteronarcyidae,Pteronarcys biloba
Beaver Brook,15680,9/20/2023,Glossosomatidae,Glossosoma
Big Brook,17992,9/6/2023,Rhyacophilidae,Rhyacophila
Big Brook,17992,9/6/2023,Perlidae,Acroneuria abnormis
Bigelow Brook,20373,9/9/2023,Chloroperlidae,Sweltsa
Bigelow Brook,20373,9/9/2023,Perlidae,Eccoptura xanthenes
Bigelow Brook,20373,9/9/2023,Rhyacophilidae,Rhyacophila fuscula
Bigelow Brook,20373,9/9/2023,Peltoperlidae,Tallaperla
Blackledge River,19455,10/17/2023,Isonychiidae,Isonychia
Blackledge River,19455,10/17/2023,Perlidae,Acroneuria abnormis
Blackledge River,19455,10/17/2023,Glossosomatidae,Glossosoma
Bradley Brook,14608,10/14/2023,Rhyacophilidae,Rhyacophila fuscula
Bradley Brook,14608,10/14/2023,Perlodidae,Isoperla
Burnham Brook,20492,5/5/2023,Perlodidae,Isoperla
Burnham Brook,20492,5/5/2023,Rhyacophilidae,Rhyacophila carolina
Burnham Brook,20882,11/3/2023,Perlidae,Perlidae
Burnham Brook,20882,11/3/2023,Peltoperlidae,Tallaperla
Burnham Brook,20882,11/3/2023,Taeniopterygidae,Taeniopteryx
Burnham Brook,20882,11/3/2023,Perlodidae,Perlodidae
Carmel Hill Brook,20486,9/17/2023,Peltoperlidae,Tallaperla
Carmel Hill Brook,20486,9/17/2023,Perlidae,Eccoptura xanthenes
Carmel Hill Brook,20486,9/17/2023,Rhyacophilidae,Rhyacophila carolina
Carmel Hill Brook,20486,9/17/2023,Isonychiidae,Isonychia
Cedar Brook,15501,10/27/2023,Capniidae,Capniidae
Cedar Brook,15501,10/27/2023,Perlidae,Acroneuria abnormis
Conantville Brook,20877,11/15/2023,Taeniopterygidae,Taeniopteryx
Conantville Brook,20877,11/15/2023,Glossosomatidae,Glossosoma
Conantville Brook,20877,11/15/2023,Rhyacophilidae,Rhyacophila fuscula
Conantville Brook,20877,11/15/2023,Capniidae,Capniidae
Cranberry Meadow Brook,20375,10/31/2023,Perlidae,Perlidae
Cranberry Meadow Brook,20375,10/31/2023,Peltoperlidae,Tallaperla
Cranberry Meadow Brook,20375,10/31/2023,Leuctridae,Leuctra
East Meadow Brook,18993,9/16/2023,Isonychiidae,Isonychia
East Meadow Brook,18993,9/16/2023,Glossosomatidae,Glossosomatidae
East Meadow Brook,18993,9/16/2023,Perlidae,Acroneuria
Elbow Brook,20881,10/1/2023,Perlidae,Acroneuria
Elbow Brook,20881,10/1/2023,Peltoperlidae,Tallaperla
Elbow Brook,20881,10/1/2023,Rhyacophilidae,Rhyacophila
Elbow Brook,20881,10/1/2023,Apataniidae,Apatania
Elbow Brook,20881,10/1/2023,Glossosomatidae,Glossosoma
English Neighborhood Brook,17867,11/12/2023,Isonychiidae,Isonychia
English Neighborhood Brook,17867,11/12/2023,Taeniopterygidae,Taeniopteryx
English Neighborhood Brook,17867,11/12/2023,Glossosomatidae,Glossosomatidae
English Neighborhood Brook,17867,11/12/2023,Rhyacophilidae,Rhyacophila fuscula
English Neighborhood Brook,17867,11/12/2023,Peltoperlidae,Tallaperla
English Neighborhood Brook,17867,11/12/2023,Apataniidae,Apatania
English Neighborhood Brook,17867,11/12/2023,Capniidae,Capniidae
Fawn Brook,18409,10/17/2023,Glossosomatidae,Glossosoma
Fawn Brook,18409,10/17/2023,Isonychiidae,Isonychia
Fawn Brook,18409,10/17/2023,Perlidae,Acroneuria abnormis
Fawn Brook,18409,10/17/2023,Chloroperlidae,Chloroperlidae
Flat Brook,16121,9/16/2023,Chloroperlidae,Sweltsa
Flat Brook,16121,9/16/2023,Brachycentridae,Brachycentrus appalachia
Flat Brook,16121,9/16/2023,Isonychiidae,Isonychia
Flat Brook,16121,9/16/2023,Perlidae,Acroneuria abnormis
Fourmile River,17322,10/24/2023,Brachycentridae,Brachycentrus numerosus
Fourmile River,17322,10/24/2023,Perlidae,Acroneuria
Fraser Brook,18961,4/28/2023,Perlidae,Acroneuria abnormis
Fraser Brook,18961,4/28/2023,Heptageniidae,Epeorus
Fraser Brook,18961,4/28/2023,Rhyacophilidae,Rhyacophila fuscula
Fraser Brook,18961,4/28/2023,Chloroperlidae,Sweltsa
Fraser Brook,20884,11/3/2023,Perlidae,Acroneuria abnormis
Fraser Brook,20884,11/3/2023,Peltoperlidae,Tallaperla
Harris Brook,15313,4/28/2023,Isonychiidae,Isonychia
Harris Brook,15313,4/28/2023,Perlidae,Acroneuria abnormis
Harris Brook,15313,4/28/2023,Rhyacophilidae,Rhyacophila fuscula
Harris Brook,15313,4/28/2023,Glossosomatidae,Agapetus
Harris Brook,19214,4/28/2023,Rhyacophilidae,Rhyacophila fuscula
Harris Brook,19214,4/28/2023,Ephemerellidae,Drunella
Harris Brook,19214,4/28/2023,Perlidae,Acroneuria abnormis
Harris Brook,19214,4/28/2023,Brachycentridae,Micrasema
Harris Brook,19214,4/28/2023,Isonychiidae,Isonychia
Harris Brook,19214,4/28/2023,Glossosomatidae,Agapetus
Harris Brook,19214,10/27/2023,Peltoperlidae,Tallaperla
Harris Brook,19214,10/27/2023,Perlidae,Paragnetina media
Harris Brook,19214,10/27/2023,Isonychiidae,Isonychia
Harris Brook,20883,11/3/2023,Perlidae,Paragnetina media
Harris Brook,20883,11/3/2023,Capniidae,Capniidae
Harris Brook,20883,11/3/2023,Glossosomatidae,Glossosoma
Harris Brook,20883,11/3/2023,Isonychiidae,Isonychia
Hedge Brook,20126,5/5/2023,Rhyacophilidae,Rhyacophila carolina
Hedge Brook,20126,5/5/2023,Perlodidae,Isoperla
Hedge Brook,20126,5/5/2023,Nemouridae,Amphinemura
Hedge Brook,20126,11/3/2023,Peltoperlidae,Tallaperla
Hedge Brook,20126,11/3/2023,Perlidae,Eccoptura xanthenes
