Waterbody,Station.ID,DATE_COL,1,2,3,4,5A,5B,5C,6A,6B,7,8A,8B,MW Count
Baker Brook,18821,10/29/2023,,,,,,,,,,,,,0
Barbour Brook,16379,10/8/2023,,,,,X,,,,,,,,1
Barrow's Brook,15594,10/28/2023,,,,X,,,,,,X,X,,3
Beaver Brook,15680,9/20/2023,,,,X,X,X,X,X,,,,,5
Big Brook,17992,9/6/2023,,,,,X,,,,,X,,,2
Bigelow Brook,20373,9/9/2023,,,,X,X,,X,,,X,,,4
Blackledge River,19455,10/17/2023,,X,,,X,,,X,,,,,3
Bradley Brook,14608,10/14/2023,,,,,,,X,,,X,,,2
Brothers Brook,20888,11/9/2023,,,,,,,,,,,,,0
Burnham Brook,20492,5/5/2023,,,,,,,X,,,X,,,2
Burnham Brook,20882,11/3/2023,,,,X,X,,X,,,,,,4
Carmel Hill Brook,20486,9/17/2023,,X,,X,X,,,,,X,,,4
Cedar Brook,15501,10/27/2023,,,,,X,,X,,,,,,2
Conantville Brook,20877,11/15/2023,,,,,,,X,X,,X,,,4
Cooks Pond outlet; unnamed brook,20878,10/23/2023,,,,,,,,,,,,,0
Cranberry Meadow Brook,20375,10/31/2023,,,,X,X,,X,,,,,,3
East Meadow Brook,18993,9/16/2023,,X,,,X,,,X,,,,,3
Elbow Brook,20881,10/1/2023,,,,X,X,,,X,X,X,,,5
English Neighborhood Brook,17867,11/12/2023,,X,,X,,,X,X,X,X,,,7
Fawn Brook,18409,10/17/2023,,X,,,X,,X,X,,,,,4
Flat Brook,16121,9/16/2023,,X,,,X,,X,,,,X,,4
Fourmile River,17322,10/24/2023,,,,,X,,,,,,X,,2
Fraser Brook,18961,4/28/2023,,,X,,X,,X,,,X,,,4
Fraser Brook,20884,11/3/2023,,,,X,X,,,,,,,,2
Greenwich Creek,20889,11/28/2023,,,,,,,,,,,,,0
Harris Brook,15313,4/28/2023,,X,,,X,,,X,,X,,,4
Harris Brook (SALEM),19214,4/28/2023,X,X,,,X,,,X,,X,X,,6
Harris Brook,19214,10/27/2023,,X,,X,X,,,,,,,,3
Harris Brook,20883,11/3/2023,,X,,,X,,X,X,,,,,4
Hedge Brook,20126,11/3/2023,,,,X,X,,,,,,,,2
Hedge Brook,20126,5/5/2023,,,,,,,X,,,X,,,3
Indian Meadow Brook,14842,10/16/2023,,X,X,X,X,,X,X,,X,,,8
Latimer Brook,18413,10/24/2023,,,,,X,,,,,,X,,2
Latimer Brook,18495,10/24/2023,,,,,X,,,X,,,X,,3
Little Dam Tavern Brook,20876,11/16/2023,,,,,X,,X,,X,,X,,4
Moodus River,18871,11/12/2023,,,,,X,,X,,,X,,,4
Moosehorn Brook,16861,10/31/2023,,,,,X,X,,,,X,,,3
Morgan Brook,20887,9/17/2023,,X,,,X,X,X,,,X,,,5
Muddy Brook,18694,5/5/2023,,,X,X,X,,,,,X,,,4
NNT to Bunnell Brook,20666,10/4/2023,,,,X,X,,X,,,X,,,5
NNT to Eightmile at PV Preserve,15314,10/27/2023,,,,X,X,,,,,,,,2
NNT to Eightmile at PV Preserve,15314,5/5/2023,,,,,,,X,,,X,,,2
NNT to Farmington River,20885,9/19/2023,,,,X,,,X,,,X,X,,5
NNT to Shepaug River,18922,9/25/2023,,,,X,,,,X,,,,,2
Peake Brook,17650,10/26/2023,,,,X,X,,X,X,X,X,X,,7
Peckham Brook,17731,10/16/2023,,,,X,X,,X,X,,X,,,5
Pine Brook,14396,10/18/2023,,,,,X,,X,X,,,,,4
Railroad Brook,16995,10/28/2023,,,,,X,,X,X,,X,,,4
Ransom Brook,19215,4/28/2023,,,,,X,,X,,,X,,,3
Ransom Brook,19215,10/27/2023,,,,X,X,,,,,,X,,3
Raymond Brook,16999,10/29/2023,,X,,,X,,X,X,,,X,,5
Reichenbach Brook,20154,9/16/2023,,,,,X,,,X,,X,,,3
Rickenback Brook,20371,10/28/2023,,,,,X,,,,,,,,1
Safford Brook,20880,11/17/2023,,,X,X,X,,X,X,X,,,X,10
Salmon Brook,14435,9/2/2023,,X,,,X,,,X,,,X,,4
Salmon River,17022,9/9/2023,,X,X,,X,,,X,,,,,4
Scranton Brook,20879,11/30/2023,,,,X,X,,X,X,,X,,X,9
Thompson Brook,20886,10/26/2023,,,,,X,,,,,X,,,2
Wood Creek,17333,9/16/2023,,X,X,X,X,X,X,,,X,,,8
