"CTDEEP.LabID","AWQ..Station","WaterbodyName","Municipality","DATE_COL","RBV_most_wanted_count"
"RBV-2024-030",14396,"Pine Brook","HADDAM","11/10/2024",6
"RBV-2024-041",14445,"Saugatuck River","WESTPORT","10/21/2024",4
"RBV-2024-024",15045,"Judd Brook","HEBRON","9/21/2024",3
"RBV-2024-059",15205,"Tankerhoosen River","VERNON","10/23/2024",3
"RBV-2024-038",15239,"East Branch Byram River","GREENWICH","11/20/2024",3
"RBV-2024-050",15249,"Mashamoquet Brook","POMFRET","10/18/2024",4
"RBV-2024-062",15249,"Mashamoquet Brook","POMFRET","9/25/2024",6
"RBV-2024-057",15280,"Pootatuck River","NEWTOWN","10/26/2024",5
"RBV-2024-013",15312,"Beaver Brook","LYME","10/18/2024",4
"RBV-2024-010",15313,"Harris Brook","SALEM","10/11/2024",3
"RBV-2024-001",15314,"Eightmile River, Unnamed tributary to (""PV Brook"")","LYME","4/12/2024",4
"RBV-2024-042",15370,"Saugatuck River","WESTON","10/23/2024",2
"RBV-2024-043",15370,"Saugatuck River","WESTON","11/22/2024",4
"RBV-2024-040",15375,"Aspetuck River","WESTPORT","10/22/2024",3
"RBV-2024-060",15764,"Deep Brook","NEWTOWN","9/23/2024",2
"RBV-2024-061",15764,"Deep Brook","NEWTOWN","9/23/2024",3
"RBV-2024-055",15839,"Deep Brook, tributary to (""Oil Creek"" or ""Meeker Brook"")","NEWTOWN","10/13/2024",4
"RBV-2024-025",16121,"Flat Brook","EAST HAMPTON","9/29/2024",5
"RBV-2024-004",16123,"Muddy Brook","EAST HADDAM","4/12/2024",4
"RBV-2024-019",16123,"Muddy Brook","EAST HADDAM","9/7/2024",4
"RBV-2024-039",16146,"East Branch Byram River","GREENWICH","10/24/2024",1
"RBV-2024-032",16324,"Dickinson Creek","COLCHESTER","9/29/2024",5
"RBV-2024-054",16420,"Pootatuck River","NEWTOWN","10/13/2024",2
"RBV-2024-045",16431,"Sprain Brook","WOODBURY","9/21/2024",3
"RBV-2024-029",16438,"Pine Brook","COLCHESTER","10/13/2024",5
"RBV-2024-047",16696,"Goodhill Brook (Good Hill Brook)","WOODBURY","9/14/2024",3
"RBV-2024-051",16697,"Goodwin Brook","CHAPLIN","10/19/2024",9
"RBV-2024-035",17322,"Fourmile River","EAST LYME","10/29/2024",3
"RBV-2024-026",17975,"Raymond Brook","HEBRON","10/30/2024",2
"RBV-2024-028",17978,"Raymond Brook","HEBRON","10/30/2024",5
"RBV-2024-018",17992,"Big Brook","SALEM","10/5/2024",1
"RBV-2024-058",18141,"Norwalk River","RIDGEFIELD","11/4/2024",3
"RBV-2024-022",18409,"Fawn Brook","MARLBOROUGH","10/16/2024",6
"RBV-2024-036",18413,"Latimer Brook","EAST LYME","10/28/2024",2
"RBV-2024-037",18495,"Latimer Brook","EAST LYME","10/28/2024",3
"RBV-2024-017",18518,"Eightmile River","EAST HADDAM","9/7/2024",4
"RBV-2024-016",18694,"Muddy Brook","EAST HADDAM","10/18/2024",4
"RBV-2024-034",18816,"Railroad Brook","BOLTON","10/27/2024",1
"RBV-2024-006",18818,"Hedge Brook","EAST HADDAM","4/26/2024",6
"RBV-2024-027",18838,"Safstrom Brook","EAST HAMPTON","10/27/2024",2
"RBV-2024-007",19214,"Harris Brook","SALEM","4/26/2024",4
"RBV-2024-011",19214,"Harris Brook","SALEM","10/11/2024",5
"RBV-2024-002",19215,"East Branch Eightmile River, Unnamed tributary to (""Ransom Brook"")","SALEM","4/12/2024",6
"RBV-2024-009",19215,"East Branch Eightmile River, Unnamed tributary to (""Ransom Brook"")","SALEM","10/11/2024",3
"RBV-2024-031",19455,"Blackledge River","MARLBOROUGH","10/16/2024",5
"RBV-2024-012",19458,"Roaring Brook #2","LYME","10/11/2024",5
"RBV-2024-021",20051,"Jeremy River","COLCHESTER","10/13/2024",4
"RBV-2024-008",20492,"Burnham Brook","EAST HADDAM","4/26/2024",4
"RBV-2024-015",20492,"Burnham Brook","EAST HADDAM","10/18/2024",1
"RBV-2024-023",20673,"Cabin Brook","Colchester","10/19/2024",3
"RBV-2024-033",20796,"Flat Brook","MARLBOROUGH","11/2/2024",7
"RBV-2024-003",20884,"Fraser Brook ","SALEM","4/12/2024",5
"RBV-2024-014",20884,"Fraser Brook ","SALEM","10/18/2024",3
"RBV-2024-005",20975,"Harris Brook ","Salem","4/26/2024",4
"RBV-2024-020",20976,"NNT to Eightmile River","East Haddam","9/7/2024",7
"RBV-2024-049",20977,"Stonehouse Brook","Chaplin","11/1/2024",6
"RBV-2024-053",20978,"Mill Brook","Woodstock","11/16/2024",6
"RBV-2024-056",20979,"North Branch Pootatuck River","Newtown","12/24/2024",11
"RBV-2024-048",20980,"South Brook","Woodbury","9/14/2024",3
"RBV-2024-046",20981,"NNT to Lewis Atwood Brook","Woodbury","9/21/2024",1
"RBV-2024-044",20982,"East Spring Brook","Bethlehem","9/22/2024",3
"RBV-2024-052",20983,"Blackmore Brook","Thompson","11/6/2024",6
