"CTDEEP.LabID","staSeq","locationName","DATE_COL","FAMILY","finalID"
"RBV-2025-014",14298,"Mill River",2025-10-20,"Rhyacophilidae","Rhyacophila fuscula"
"RBV-2025-029",14396,"Pine Brook",2025-09-20,"Brachycentridae","Brachycentrus appalachia"
"RBV-2025-029",14396,"Pine Brook",2025-09-20,"Perlidae","Acroneuria abnormis"
"RBV-2025-029",14396,"Pine Brook",2025-09-20,"Glossosomatidae","Glossosoma"
"RBV-2025-029",14396,"Pine Brook",2025-09-20,"Chloroperlidae","Sweltsa"
"RBV-2025-029",14396,"Pine Brook",2025-09-20,"Lepidostomatidae","Lepidostoma"
"RBV-2025-029",14396,"Pine Brook",2025-09-20,"Heptageniidae","Epeorus"
"RBV-2025-060",14406,"Pootatuck River",2025-10-16,"Perlidae","Acroneuria abnormis"
"RBV-2025-060",14406,"Pootatuck River",2025-10-16,"Rhyacophilidae","Rhyacophila fuscula"
"RBV-2025-060",14406,"Pootatuck River",2025-10-16,"Isonychiidae","Isonychia"
"RBV-2025-015",14445,"Saugatuck River",2025-11-13,"Taeniopterygidae","Taeniopteryx"
"RBV-2025-015",14445,"Saugatuck River",2025-11-13,"Isonychiidae","Isonychia"
"RBV-2025-015",14445,"Saugatuck River",2025-11-13,"Rhyacophilidae","Rhyacophila fuscula"
"RBV-2025-015",14445,"Saugatuck River",2025-11-13,"Glossosomatidae","Glossosoma"
"RBV-2025-015",14445,"Saugatuck River",2025-11-13,"Heptageniidae","Epeorus"
"RBV-2025-027",15045,"Judd Brook",2025-10-19,"Brachycentridae","Brachycentrus appalachia"
"RBV-2025-027",15045,"Judd Brook",2025-10-19,"Isonychiidae","Isonychia"
"RBV-2025-027",15045,"Judd Brook",2025-10-19,"Perlidae","Acroneuria abnormis"
"RBV-2025-063",15128,"Kirby Brook",2025-10-30,"Glossosomatidae","Glossosoma"
"RBV-2025-063",15128,"Kirby Brook",2025-10-30,"Perlidae","Acroneuria"
"RBV-2025-063",15128,"Kirby Brook",2025-10-30,"Pteronarcyidae","Pteronarcys biloba"
"RBV-2025-063",15128,"Kirby Brook",2025-10-30,"Taeniopterygidae","Taeniopteryx"
"RBV-2025-063",15128,"Kirby Brook",2025-10-30,"Rhyacophilidae","Rhyacophila fuscula"
"RBV-2025-063",15128,"Kirby Brook",2025-10-30,"Isonychiidae","Isonychia"
"RBV-2025-054",15180,"East Branch Eightmile River",2025-11-07,"Perlidae","Paragnetina media"
"RBV-2025-054",15180,"East Branch Eightmile River",2025-11-07,"Isonychiidae","Isonychia"
"RBV-2025-054",15180,"East Branch Eightmile River",2025-11-07,"Leuctridae","Leuctridae"
"RBV-2025-054",15180,"East Branch Eightmile River",2025-11-07,"Brachycentridae","Brachycentrus lateralis"
"RBV-2025-061",15205,"Tankerhoosen River",2025-09-20,"Perlidae","Perlidae"
"RBV-2025-058",15280,"Pootatuck River",2025-09-17,"Glossosomatidae","Glossosoma"
"RBV-2025-058",15280,"Pootatuck River",2025-09-17,"Isonychiidae","Isonychia"
"RBV-2025-058",15280,"Pootatuck River",2025-09-17,"Perlidae","Acroneuria abnormis"
"RBV-2025-050",15312,"Beaver Brook",2025-10-24,"Perlidae","Acroneuria abnormis"
"RBV-2025-041",15312,"Beaver Brook",2025-04-25,"Perlidae","Acroneuria"
"RBV-2025-050",15312,"Beaver Brook",2025-10-24,"Isonychiidae","Isonychia"
"RBV-2025-041",15312,"Beaver Brook",2025-04-25,"Ephemerellidae","Drunella cornutella"
"RBV-2025-041",15312,"Beaver Brook",2025-04-25,"Rhyacophilidae","Rhyacophila fuscula"
