"CTDEEP.LabID","staSeq","WaterbodyName","Municipality","DATE_COL","RBV_most_wanted_count"
"RBV-2025-014",14298,"Mill River","FAIRFIELD",2025-10-20,1
"RBV-2025-029",14396,"Pine Brook","HADDAM",2025-09-20,6
"RBV-2025-060",14406,"Pootatuck River","NEWTOWN",2025-10-16,3
"RBV-2025-015",14445,"Saugatuck River","WESTPORT",2025-11-13,5
"RBV-2025-027",15045,"Judd Brook","HEBRON",2025-10-19,3
"RBV-2025-063",15128,"Kirby Brook","WASHINGTON",2025-10-30,6
"RBV-2025-054",15180,"East Branch Eightmile River","SALEM",2025-11-07,4
"RBV-2025-061",15205,"Tankerhoosen River","VERNON",2025-09-20,1
"RBV-2025-058",15280,"Pootatuck River","NEWTOWN",2025-09-17,3
"RBV-2025-041",15312,"Beaver Brook","LYME",2025-04-25,3
"RBV-2025-050",15312,"Beaver Brook","LYME",2025-10-24,4
"RBV-2025-048",15314,"Eightmile River, Unnamed tributary to (""PV Brook"")","LYME",2025-10-17,4
"RBV-2025-045",15314,"Eightmile River, Unnamed tributary to (""PV Brook"")","LYME",2025-03-28,1
"RBV-2025-017",15375,"Aspetuck River","WESTPORT",2025-10-16,3
"RBV-2025-006",15554,"Morgan Brook","BARKHAMSTED",2025-10-27,3
"RBV-2025-031",16121,"Flat Brook","EAST HAMPTON",2025-09-06,6
"RBV-2025-044",16123,"Muddy Brook","EAST HADDAM",2025-04-25,4
"RBV-2025-020",16333,"Bullet Hill Brook","SOUTHBURY",2025-09-20,0
"RBV-2025-001",16370,"Bunnell Brook","BURLINGTON",2025-09-16,4
"RBV-2025-038",16484,"Ballymahack Brook","WINDHAM",2025-10-23,5
"RBV-2025-009",16587,"Converse Pond Brook","GREENWICH",2025-10-20,2
"RBV-2025-035",16657,"Fenton River","MANSFIELD",2025-10-17,5
"RBV-2025-005",16730,"Hawley Brook","AVON",2025-10-26,0
"RBV-2025-030",17022,"Salmon River","COLCHESTER",2025-09-06,3
"RBV-2025-022",17125,"Transylvania Brook","SOUTHBURY",2025-09-20,1
"RBV-2025-016",17172,"Wangum Lake Brook","CANAAN",2025-05-31,4
"RBV-2025-012",17978,"Raymond Brook","HEBRON",2025-10-28,3
"RBV-2025-003",18390,"East Branch Eightmile River","LYME",2025-11-17,5
"RBV-2025-011",18409,"Fawn Brook","MARLBOROUGH",2025-10-23,3
"RBV-2025-059",18734,"Pootatuck river","NEWTOWN",2025-09-23,4
"RBV-2025-028",18981,"Lyman Brook","MARLBOROUGH",2025-10-11,3
"RBV-2025-040",19000,"Beaver Brook","SCOTLAND",2025-11-04,8
"RBV-2025-004",19146,"Stratton Brook","SIMSBURY",2025-11-13,3
"RBV-2025-057",19214,"Harris Brook","SALEM",2025-03-28,3
"RBV-2025-055",19215,"East Branch Eightmile River, Unnamed tributary to (""Ransom Brook"")","SALEM",2025-03-28,4
"RBV-2025-039",19252,"Keach Brook","PUTNAM",2025-11-03,4
"RBV-2025-025",19455,"Blackledge River","MARLBOROUGH",2025-10-23,2
"RBV-2025-049",19458,"Roaring Brook #2","LYME",2025-10-24,7
"RBV-2025-042",19458,"Roaring Brook #2","LYME",2025-04-25,6
"RBV-2025-002",19713,"Eightmile River","EAST HADDAM",2025-09-11,5
"RBV-2025-018",20046,"Spruce Brook","SOUTHBURY",2025-09-21,2
"RBV-2025-062",20096,"Shepaug River, Unnamed tributary to (""Curtis Brook"")","WASHINGTON",2025-10-21,2
"RBV-2025-013",20314,"Round Hill Brook","OXFORD",2025-11-08,4
"RBV-2025-032",20373,"Salmon River, Unnamed tributary to","EAST HAMPTON",2025-09-06,3
"RBV-2025-019",20378,"Wood Creek","BETHLEHEM",2025-09-21,4
"RBV-2025-023",20486,"Carmel Hill Brook","WOODBURY",2025-09-13,5
"RBV-2025-026",20509,"Elbow Brook","EAST HAMPTON",2025-10-14,5
"RBV-2025-008",20799,"Roaring Brook","BURLINGTON",2025-09-27,2
"RBV-2025-010",20805,"Mianus River","Greenwich",2025-05-28,1
"RBV-2025-051",20883,"Harris Brook ","SALEM",2025-10-24,2
"RBV-2025-053",20884,"Fraser Brook ","SALEM",2025-11-07,3
"RBV-2025-056",20884,"Fraser Brook ","SALEM",2025-03-28,5
"RBV-2025-043",20976,"NNT to Eightmile River","East Haddam",2025-04-25,6
"RBV-2025-052",21112,"NNT to Eightmile River","EAST HADDAM",2025-10-24,3
"RBV-2025-047",21113,"Ransom Brook","SALEM",2025-10-17,3
"RBV-2025-046",21114,"Harris Brook","SALEM",2025-10-17,3
"RBV-2025-033",21115,"NNT to Blackledge River","MARLBOROUGH",2025-11-19,5
"RBV-2025-007",21116,"Jim Brook","CANTON",2025-10-13,1
"RBV-2025-024",21117,"South Branch Bullet Hill Brook","SOUTHBURY",2025-10-29,5
"RBV-2025-021",21118,"Plumb Brook","WOODBURY",2025-10-19,4
"RBV-2025-034",21119,"Sunset Hill Brook","THOMPSON",2025-09-04,2
"RBV-2025-037",21120,"Sawmill Brook","MANSFIELD",2025-10-26,6
"RBV-2025-036",21121,"Fall Brook","KILLINGLY",2025-10-29,5
