"adbSegID","staSeq","WaterbodyName","Municipality","DATE_COL","RBV_most_wanted_count","ylat","xlong","stationsCommentTxt","lastUpdateDate","AQUATIC_LIFE_ATTAINMENT_2024"
"3802-XX_xx",19000,"Beaver Brook","SCOTLAND","2025-11-04",8,41.68217,-72.108798,"Established 2015 by TU/ECCD as new RBV monitoring location",2021-10-05 14:34:45,NA
"4700.0",20509,"Elbow Brook","EAST HAMPTON","2025-10-14",5,41.518889,-72.4825,"Established 2020 by volunteers as new RBV station",2021-10-05 14:34:45,NA
"6000-63-1",20314,"Round Hill Brook","OXFORD","2025-11-08",4,41.376179,-73.15833,"Brook Trout; In Webb Mountain Park",2021-12-27 17:18:19,NA
"CT3207-00_01a",16657,"Fenton River","MANSFIELD","2025-10-17",5,41.7831,-72.2031,"Initial Site Number=6009 or alias of =6009//site comments:Stream Survey Site",2021-12-21 14:17:00,"Fully Supporting"
"CT4016-01_01",19458,"Roaring Brook #2","LYME","2025-10-24",7,41.423478,-72.399106,"Established 2016 as new RBV site by ERWSCC with LLCT - potential new preservation area",2022-01-05 12:07:25,"Fully Supporting"
"CT4311-00_01",16370,"Bunnell Brook","BURLINGTON","2025-09-16",4,41.7807,-72.963,"Initial Site Number=20617 or alias of =//site comments:; Probabilistic Monitoring Site CTS06621-0979",2021-11-17 18:20:50,"Fully Supporting"
"CT4700-03_01",16121,"Flat Brook","EAST HAMPTON","2025-09-06",6,41.5544,-72.4523,"Initial Site Number= or alias of =//site comments:At Rte 16",2021-10-05 14:34:45,"Fully Supporting"
"CT4709-00_01",14396,"Pine Brook","HADDAM","2025-09-20",6,41.5079,-72.4952,"Initial Site Number=208 or alias of =//site comments:station is at end of dirt road",2021-10-05 14:34:45,"Fully Supporting"
"CT4800-06_01",16123,"Muddy Brook","EAST HADDAM","2025-04-25",4,41.4756,-72.342,"Initial Site Number= or alias of =//site comments:In Devil's Hopyard SP",2021-10-05 14:34:45,"Fully Supporting"
"CT4800-15_01",15314,"Eightmile River, Unnamed tributary to (""PV Brook"")","LYME","2025-10-17",4,41.4155,-72.3396,"Initial Site Number=26-007 or alias of =//site comments:site established by Jane Brawerman and Eightmile River wild and scenic study",2025-12-15 10:58:22,"Fully Supporting"
"CT4802-00_01",18390,"East Branch Eightmile River","LYME","2025-11-17",5,41.426822,-72.331911,"(SID 6703); TNC monitoring site - dam removal location fall 2015",2022-01-05 12:07:25,"Fully Supporting"
"CT4802-00_01",15180,"East Branch Eightmile River","SALEM","2025-11-07",4,41.4795,-72.2819,"Initial Site Number=26-004 or alias of =//site comments:Eightmile River Association",2021-10-05 14:34:45,"Fully Supporting"
"CT4802-07_01",19215,"East Branch Eightmile River, Unnamed tributary to (""Ransom Brook"")","SALEM","2025-03-28",4,41.454943,-72.283556,"Established 2016 by TRCC as a new RBV monitoring location",2021-10-07 14:01:44,"Fully Supporting"
"CT4803-00_01",15312,"Beaver Brook","LYME","2025-10-24",4,41.409952,-72.329059,"Initial Site Number=26-005 or alias of =//site comments:site established by Jane Brawerman and Eightmile River wild and scenic study, Willauer property call 860-434-8315 before fish shocking.",2021-10-05 14:34:45,"Fully Supporting"
"CT6202-00_01",17172,"Wangum Lake Brook","CANAAN","2025-05-31",4,41.9528,-73.2792,"Initial Site Number=4111 or alias of =4111//site comments:Stream Survey Site",2021-12-27 17:18:19,"Fully Supporting"
"CT6700-17_01",15128,"Kirby Brook","WASHINGTON","2025-10-30",6,41.6173,-73.3227,"Initial Site Number=1501.02 or alias of =//site comments:Shepaug Regional; At dirt road crossing",2021-12-27 17:18:19,"Fully Supporting"
"CT6804-04_01",20378,"Wood Creek","BETHLEHEM","2025-09-21",4,41.629643,-73.229278,"Established 2019 as a new volunteer monitoring station",2022-01-05 12:07:25,"Fully Supporting"
"CT6804-08_01",20486,"Carmel Hill Brook","WOODBURY","2025-09-13",5,41.592244,-73.239002,"Established 2020 by PRWC as new RBV monitoring location",2021-10-07 14:01:44,"Fully Supporting"
"CT7200-00_01",14445,"Saugatuck River","WESTPORT","2025-11-13",5,41.1693,-73.367,"Initial Site Number=SG1 or alias of =1581.01, R5, 48-001//site comments:Rotating chem only, RBV, at a pull off with signage for TMA, at base of Island Staples HS, just after Ford Road turns south and becomes North Clinton Avenue",2021-10-05 14:34:45,"Fully Supporting"
"Needs",16484,"Ballymahack Brook","WINDHAM","2025-10-23",5,41.7144,-72.1444,"Initial Site Number=5132 or alias of =5132//site comments:Stream Survey Site",2010-03-12,NA
NA,18734,"Pootatuck river","NEWTOWN","2025-09-23",4,41.419994,-73.282188,"Standard fish sample site- trout plus a list of species; Trout-only standard WTMA annual sample",2021-11-17 18:20:50,NA
NA,19252,"Keach Brook","PUTNAM","2025-11-03",4,41.929229,-71.802617,"",2016-11-16 11:53:00,NA
NA,20884,"Fraser Brook ","SALEM","2025-03-28",5,41.477781,-72.254441,"Established in 2023 as a new volunteer monitoring (RBV) site",2024-01-03 15:52:59,NA
NA,20976,"NNT to Eightmile River","East Haddam","2025-04-25",6,41.48322,-72.34044,"Established in 2024 as a new volunteer monitoring (RBV) site",2024-12-18 15:16:14,NA
NA,19713,"Eightmile River","EAST HADDAM","2025-09-11",5,41.452722,-72.336773,"IFD; Atl. Salmon Monitor station plot 1A",2021-11-17 18:20:50,NA
NA,21115,"NNT to Blackledge River","MARLBOROUGH","2025-11-19",5,41.602394,-72.410247,"Station created for RBV sample",2025-12-18 16:11:15,NA
