"Waterbody Name","Station ID","Municipality","Description","Latitude","Longitude"
"Mill River",14298,"FAIRFIELD","upstream Lake Mohegan",41.208,-73.257
"Pine Brook",14396,"HADDAM","at old bridge Pine Brook Road",41.5079,-72.4952
"Pootatuck River",14406,"NEWTOWN","downstream Wasserman Way on Game Club Property (Mile Hill Rd)",41.4064,-73.272
"Saugatuck River",14445,"WESTPORT","at DS end of Fly Fishing Only Area (1 Ford Rd)",41.1693,-73.367
"Judd Brook",15045,"HEBRON","At mouth, upstream Airline Trail crossing (Hebron/Colchester town line)",41.6005,-72.373
"Kirby Brook",15128,"WASHINGTON","300m upstream confluence with Shepaug River",41.6173,-73.3227
"East Branch Eightmile River",15180,"SALEM","off Walden Road",41.4795,-72.2819
"Tankerhoosen River",15205,"VERNON","DS Bolton Road",41.8294,-72.4482
"Pootatuck River",15280,"NEWTOWN","adjacent Tom's Brook Confluence (DS STP outfall)",41.4149,-73.2827
"Beaver Brook",15312,"LYME","Downstream bridge at 55-123 Beaver Brook Road",41.409952,-72.329059
"Beaver Brook",15312,"LYME","Downstream bridge at 55-123 Beaver Brook Road",41.409952,-72.329059
"Eightmile River, Unnamed tributary to (""PV Brook"")",15314,"LYME","at trail crossing off MacIntosh Road (Pleasant Valley Preserve)",41.4155,-72.3396
"Eightmile River, Unnamed tributary to (""PV Brook"")",15314,"LYME","at trail crossing off MacIntosh Road (Pleasant Valley Preserve)",41.4155,-72.3396
"Aspetuck River",15375,"WESTPORT","Upstream Confluence with Saugatuck River at Lyons Plain Rd",41.1769,-73.3579
"Morgan Brook",15554,"BARKHAMSTED","downstream East West Hill Road ADJ to Rte 44",41.9125,-73.0175
"Flat Brook",16121,"EAST HAMPTON","at Route 16 (at mouth)",41.5544,-72.4523
"Muddy Brook",16123,"EAST HADDAM","Downstream of Hopyard Road",41.4756,-72.342
"Bullet Hill Brook",16333,"SOUTHBURY","Adjacent to Heritage Rd Downstream Old Field Road (""Ewald Park"")",41.4826,-73.2205
"Bunnell Brook",16370,"BURLINGTON","upstream diversion for swimming area at recreation area at vineyard rd and clear brook rd",41.7807,-72.963
"Ballymahack Brook",16484,"WINDHAM","US of old diversion dam at manfrede property",41.7144,-72.1444
"Converse Pond Brook",16587,"GREENWICH","Above Lake Ave",41.1056,-73.6511
"Fenton River",16657,"MANSFIELD","1.4 KM US of rte 89 access from dirt rd left off wormwood hill",41.7831,-72.2031
"Hawley Brook",16730,"AVON","US Country Side Park off Huckleberry Hill Rd",41.7875,-72.9094
"Salmon River",17022,"COLCHESTER","US of bigelow brook in salmon river SF",41.548315,-72.451615
"Transylvania Brook",17125,"SOUTHBURY","DS of Upper Rte ## at Southbury Training School",41.4956,-73.2575
"Wangum Lake Brook",17172,"CANAAN","US Cannan Mountain Rd",41.9528,-73.2792
"Raymond Brook",17978,"HEBRON","GRAYVILLE PARK",41.6142,-72.3678
"East Branch Eightmile River",18390,"LYME","Upstream Salem Rd (upstream former Ed Bills spillway)",41.426822,-72.331911
"Fawn Brook",18409,"MARLBOROUGH","Downstream Old Hartford Road/S. Main Street (at mouth)",41.604581,-72.41875
"Pootatuck river",18734,"NEWTOWN","Upstream of footbridge above Church Hill Rd",41.419994,-73.282188
"Lyman Brook",18981,"MARLBOROUGH","125m downstream of Glenwood Drive culdesac",41.63271,-72.45228
"Beaver Brook",19000,"SCOTLAND","150m downstream of Bass Rd",41.68217,-72.108798
"Stratton Brook",19146,"SIMSBURY","downstream fishing pond dam",41.864463,-72.83479
"Harris Brook",19214,"SALEM","0.25 mi upstream Music Vale Rd",41.487386,-72.27044
"East Branch Eightmile River, Unnamed tributary to (""Ransom Brook"")",19215,"SALEM","30m downstream Darling Rd (""Bingham Property"")",41.454943,-72.283556
"Keach Brook",19252,"PUTNAM","DS of Elmwood hill rd",41.929229,-71.802617
"Blackledge River",19455,"MARLBOROUGH","30m upstreamFawn Brook, near Kellogg Rd/South Main St",41.60413,-72.41969
"Roaring Brook #2",19458,"LYME","Upstream Rt 82, behind Hadlyme Post Office (Banningwood Preserve)",41.423478,-72.399106
"Roaring Brook #2",19458,"LYME","Upstream Rt 82, behind Hadlyme Post Office (Banningwood Preserve)",41.423478,-72.399106
"Eightmile River",19713,"EAST HADDAM","US of doblia Hill Rd- Hammon Mill Preserve",41.452722,-72.336773
"Spruce Brook",20046,"SOUTHBURY","Downstream of Spruce Brook Road, near New Road",41.487886,-73.268601
"Shepaug River, Unnamed tributary to (""Curtis Brook"")",20096,"WASHINGTON","at Tunnel Road",41.6079,-73.3286
"Round Hill Brook",20314,"OXFORD","US Train Track Culvert",41.376179,-73.15833
"Salmon River, Unnamed tributary to",20373,"EAST HAMPTON","100 ft. upstream of Salmon River confluence",41.548378,-72.451013
"Wood Creek",20378,"BETHLEHEM","Upstream from bridge (Arch Bridge Rd.)",41.629643,-73.229278
"Carmel Hill Brook",20486,"WOODBURY","Within Marzahl Refuge, upstream of walking bridge (Near Carmel Hill Rd/Weekeepeee Rd. intersection)",41.592244,-73.239002
"Elbow Brook",20509,"EAST HAMPTON","at mouth, 50 ft upstream confluence with Salmon River",41.518889,-72.4825
"Roaring Brook",20799,"BURLINGTON","50 meters upstream of Rt. 167, along the 'brook trail'",41.760494,-72.882016
"Mianus River",20805,"Greenwich","Within the Mianus River Natural Park",41.06271,-73.57978
"Harris Brook ",20883,"SALEM","Stream located at bridge near Red Trail - break off near field ",41.472591,-72.286191
"Fraser Brook ",20884,"SALEM","10ft before bridge to 30ft below bridge",41.477781,-72.254441
"Fraser Brook ",20884,"SALEM","10ft before bridge to 30ft below bridge",41.477781,-72.254441
"NNT to Eightmile River",20976,"East Haddam","Within Devils Hopyard State Park, located 30 meters downstream from the White Trail (bridge) crossing.",41.48322,-72.34044
"NNT to Eightmile River",21112,"EAST HADDAM","Devils Hopyard white trail from road entrance down .5 miles to adjacent waterfall, upstream 40' of main waterfall pool",41.486667,-72.333611
"Ransom Brook",21113,"SALEM","Darling Rd, Binshaw property",41.4549,-72.2385
"Harris Brook",21114,"SALEM","200' South from off the road parking at the fork 75' SE from the culvert",41.48359,-72.2695
"NNT to Blackledge River",21115,"MARLBOROUGH","75' DS of South Main Street",41.602394,-72.410247
"Jim Brook",21116,"CANTON","Roaring Brook Nature Center- 200 feet upstream from trail crossing",41.841616,-72.88257
"South Branch Bullet Hill Brook",21117,"SOUTHBURY","Community House Park; 10m downstream of Route 67 Bridge ",41.47625,-73.20298
"Plumb Brook",21118,"WOODBURY","Less than 20m upstream of where an unnamed tributary feeds into Plum Brook from a large cascade system to the east",41.573937,-73.213086
"Sunset Hill Brook",21119,"THOMPSON","1/4 mile west of Sunset Hill Rd, 15 meters southeast of the Airline Trail",41.973196,-71.868755
"Sawmill Brook",21120,"MANSFIELD","50 meters east of the Nipmuck Trail on the Mansfield Sawmill Brook Property",41.748606,-72.209738
"Fall Brook",21121,"KILLINGLY","50 meters east of I-395 in Old Furnace State Park",41.785297,-71.871811
