locationName,staSeq,code,DATE_COL,RBV_most_wanted_count
Bunnell Brook,16370,CTDEEP,9/16/2025,4
Eightmile River,19713,8MILE,9/11/2025,5
East Branch Eightmile River,18390,8MILE,11/17/2025,5
Stratton Brook,19146,FRWA,11/13/2025,3
Hawley Brook,16730,FRWA,10/26/2025,0
Morgan Brook,15554,FRWA,10/27/2025,3
Jim Brook,21116,FRWA,10/13/2025,1
Roaring Brook,20799,FRWA,9/27/2025,2
Wangum Lake Brook,17172,GMF,5/31/2025,4
Converse Pond Brook,16587,GIWWA,10/20/2025,2
Mianus River,20805,GIWWA,5/28/2025,1
Mill River,14298,HW,10/20/2025,1
Saugatuck River,14445,HW,11/13/2025,5
Aspetuck River,15375,HW,10/16/2025,3
Spruce Brook,20046,PRWC,9/21/2025,2
Wood Creek,20378,PRWC,9/21/2025,4
Bullet Hill Brook,16333,PRWC,9/20/2025,0
Plumb Brook,21118,PRWC,10/19/2025,4
Transylvania Brook,17125,PRWC,9/20/2025,1
Carmel Hill Brook,20486,PRWC,9/13/2025,5
South Branch Bullet Hill Brook,21117,PRWC,10/29/2025,5
Fawn Brook,18409,SRWP,10/23/2025,3
Blackledge River,19455,SRWP,10/23/2025,2
Elbow Brook,20509,SRWP,10/14/2025,5
Judd Brook,15045,SRWP,10/19/2025,3
Lyman Brook,18981,SRWP,10/11/2025,3
Pine Brook,14396,SRWP,9/20/2025,6
Salmon River,17022,SRWP,9/6/2025,3
Flat Brook,16121,SRWP,9/6/2025,6
"Salmon River, Unnamed tributary to",20373,SRWP,9/6/2025,3
NNT to Blackledge River,21115,SRWP,11/19/2025,5
Raymond Brook,17978,SRWP,10/28/2025,3
Round Hill Brook,20314,TMA,11/8/2025,4
Sunset Hill Brook,21119,TLGV,9/4/2025,2
Fenton River,16657,TLGV,10/17/2025,5
Fall Brook,21121,TLGV,10/29/2025,5
Sawmill Brook,21120,TLGV,10/26/2025,6
Ballymahack Brook,16484,TLGV,10/23/2025,5
Keach Brook,19252,TLGV,11/3/2025,4
Beaver Brook,19000,TLGV,11/4/2025,8
Beaver Brook,15312,TRCC,4/25/2025,3
Roaring Brook #2,19458,TRCC,4/25/2025,6
NNT to Eightmile River,20976,TRCC,4/25/2025,6
Muddy Brook,16123,TRCC,4/25/2025,4
"Eightmile River, Unnamed tributary to (""PV Brook"")",15314,TRCC,3/28/2025,1
Harris Brook,21114,TRCC,10/17/2025,3
Ransom Brook,21113,TRCC,10/17/2025,3
"Eightmile River, Unnamed tributary to (""PV Brook"")",15314,TRCC,10/17/2025,4
Roaring Brook #2,19458,TRCC,10/24/2025,7
Beaver Brook,15312,TRCC,10/24/2025,4
Harris Brook ,20883,TRCC,10/24/2025,2
NNT to Eightmile River,21112,TRCC,10/24/2025,3
Fraser Brook ,20884,TRCC,11/7/2025,3
East Branch Eightmile River,15180,TRCC,11/7/2025,4
"East Branch Eightmile River, Unnamed tributary to (""Ransom Brook"")",19215,TRCC,3/28/2025,4
Fraser Brook ,20884,TRCC,3/28/2025,5
Harris Brook,19214,TRCC,3/28/2025,3
Pootatuck River,15280,CVTU,9/17/2025,3
Pootatuck river,18734,CVTU,9/23/2025,4
Pootatuck River,14406,CVTU,10/16/2025,3
Tankerhoosen River,15205,VCC,9/20/2025,1
"Shepaug River, Unnamed tributary to (""Curtis Brook"")",20096,WMS,10/21/2025,2
Kirby Brook,15128,WMS,10/30/2025,6
