DEEPTaxaID,finalID,SUPERPHYLUM,PHYLUM,SUBPHYLUM,INFRAPHYLUM,SUPERCLASS,CLASS,SUBCLASS,INFRACLASS,SUPERORDER,ORDER,SUBORDER,INFRAORDER,SUPERFAMILY,FAMILY,SUBFAMILY,TRIBE,SUBTRIBE,GENUS,SPECIES,Synonym,FFG
1,Adicrophleps hitchcocki,,Arthropoda,,,,Insecta,,,,Trichoptera,,,,Brachycentridae,,,,Adricrophleps,hitchcocki,,SHR
2,Alloperla usa,,Arthropoda,,,,Insecta,,,,Plecoptera,,,,Chloroperlidae,,,,Alloperla,usa,,C-G
3,Ameletus lineatus,,Arthropoda,,,,Insecta,,,,Ephemeroptera,,,,Ameletidae,,,,Ameletus,lineatus,Ameletus lineatus,C-G
4,Annelida,,Annelida,,,,,,,,,,,,,,,,,,,C-G
5,Arigomphus,,Arthropoda,,,,Insecta,,,,Odonata,,,,Gomphidae,,,,Arigomphus,,,PRD
7,Arigomphus furcifer,,Arthropoda,,,,Insecta,,,,Odonata,,,,Gomphidae,,,,Arigomphus,furcifer,,PRD
8,Arthroplea bipunctata,,Arthropoda,,,,Insecta,,,,Ephemeroptera,,,,Heptageniidae,,,,Arthroplea,bipunctata,,C-F
9,Aulodrilus japonicus,,Annelida,,,,Clitellata,,,,Haplotaxida,,,,Tubificidae,,,,Aulodrilus,japonicus,,C-G
10,Baetisca laurentina,,Arthropoda,,,,Insecta,,,,Ephemeroptera,,,,Baetiscidae,,,,Baetisca,laurentina,,C-G
11,Brachyptera,,Arthropoda,,,,Insecta,,,,Plecoptera,,,,Taeniopterygidae,,,,Brachyptera,,,SHR
12,Cambarus robustus,,Arthropoda,,,,Malacostraca,,,,Decapoda,,,,Cambaridae,,,,Cambarus,robustus,,C-G
14,Ceratopsyche morosa,,Arthropoda,,,,Insecta,,,,Trichoptera,,,,Hydropsychidae,,,,Ceratopsyche,morosa,"Hydropsyche morosa gr.,Ceratopsyche bifida group",C-F
15,Ceratopsyche ventura,,Arthropoda,,,,Insecta,,,,Trichoptera,,,,Hydropsychidae,,,,Ceratopsyche,ventura,Hydropsyche ventura,C-F
16,Ceratopsyche walkeri,,Arthropoda,,,,Insecta,,,,Trichoptera,,,,Hydropsychidae,,,,Ceratopsyche,walkeri,"Ceratopsyche bifida group, Hydropsyche walkeri",C-F
17,Chloroperlidae/Leuctridae,,Arthropoda,,,,Insecta,,,,Plecoptera,,,,,,,,,,,?
18,Cinygmula subaequalis,,Arthropoda,,,,Insecta,,,,Ephemeroptera,,,,Heptageniidae,,,,Cinygmula,subaequalis,,SCR
19,Cipangopaludina,,Mollusca,,,,Gastropoda,,,,Architaenioglossa,,,,Viviparidae,,,,Cipangopaludina,,,SCR
20,Clinocera/Oreogeton/Wiedemannia,,Arthropoda,,,,Insecta,,,,Diptera,,,,Empididae,,,,,,,PRD
21,Caecidotea communis,,Arthropoda,,,,Malacostraca,,,,Isopoda,,,,Asellidae,,,,Caecidotea,communis,"Caecidotea communis, Asellus communis, Asellus miltitaris",C-G
22,Cordulegaster diastatops,,Arthropoda,,,,Insecta,,,,Odonata,,,,Cordulegastridae,,,,Cordulegaster,diastatops,,PRD
23,Cricotopus intersectus group,,Arthropoda,,,,Insecta,,,,Diptera,,,,Chironomidae,Orthocladiinae,,,Cricotopus,intersectus,,SHR
24,Cricotopus tremulus group,,Arthropoda,,,,Insecta,,,,Diptera,,,,Chironomidae,Orthocladiinae,,,Cricotopus,tremulus,,SHR
25,Cricotopus trifascia group,,Arthropoda,,,,Insecta,,,,Diptera,,,,Chironomidae,Orthocladiinae,,,Cricotopus,trifascia,,SHR
26,Cultus decisus,,Arthropoda,,,,Insecta,,,,Plecoptera,,,,Perlodidae,,,,Cultus,decisus,,PRD
27,Diamesa Type A,,Arthropoda,,,,Insecta,,,,Diptera,,,,Chironomidae,Diamesinae,,,Diamesa,,,C-G
28,Dibusa angata,,Arthropoda,,,,Insecta,,,,Trichoptera,,,,Hydroptilidae,,,,Dibusa,angata,,PRD
29,Dicrotendipes nervosus/simpsoni/lucifer,,Arthropoda,,,,Insecta,,,,Diptera,,,,Chironomidae,Chironominae,Chironomini,,Dicrotendipes,nervosus,Dicrotendipes nervosus type I,C-G
