CTDEEPLablD,Stream,SID#/Station,Rep,Subsample Duplicate Notes,Device,Habitat,DATE_COL,SAMPTYPE,LAB_NAME,LAB_SAMPLE_ID,TAXONOMIST,LAB_TIN,TAXON_NAME,DEEPTaxaID,LIFE_STAGE,ABUNDANCE,%_SUB,CORRECTED,#_IN_RC,IMMATURE,INDETERMINATE,CONDITION,DISTINCT,AGGREGATED,LAB_COM,KINGDOM,PHYLUM,SUBPHYLUM,CLASS,SUBCLASS,INFRACLASS,SUPERORDER,ORDER,SUBORDER,INFRAORDER,SUPERFAMILY,FAMILY,SUBFAMILY,TRIBE,SUBTRIBE,GENUS,SUBGENUS,SPECIES,SUBSPECIES,ADDITIONS,SERIAL
RBV-2023-001,Fawn Brook,18409,1,RBV,KN1M2,Riffle,10/17/2023,ABM-RBV,EcoAnalysts,8436.3-1,B. LaVoie,4,Oligochaeta,651,N/A,1,N/A,N/A,0,N,N,N,Y,0,,Animalia,Annelida,,Clitellata,Oligochaeta,,,,,,,,,,,,,,,,68422
RBV-2023-001,Fawn Brook,18409,1,RBV,KN1M2,Riffle,10/17/2023,ABM-RBV,EcoAnalysts,8436.3-1,B. LaVoie,465,Optioservus sp.,505,Larvae,1,N/A,N/A,0,N,N,N,Y,0,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Coleoptera,Polyphaga,,,Elmidae,,,,Optioservus,,sp.,,,114177
RBV-2023-001,Fawn Brook,18409,1,RBV,KN1M2,Riffle,10/17/2023,ABM-RBV,EcoAnalysts,8436.3-1,B. LaVoie,477,Stenelmis sp.,509,Larvae,1,N/A,N/A,0,N,N,N,Y,0,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Coleoptera,Polyphaga,,,Elmidae,,,,Stenelmis,,sp.,,,114095
RBV-2023-001,Fawn Brook,18409,1,RBV,KN1M2,Riffle,10/17/2023,ABM-RBV,EcoAnalysts,8436.3-1,B. LaVoie,500,Psephenus herricki,516,Larvae,2,N/A,N/A,0,N,N,N,Y,0,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Coleoptera,Polyphaga,,,Psephenidae,,,,Psephenus,,Psephenus herricki,,,114072
RBV-2023-001,Fawn Brook,18409,1,RBV,KN1M2,Riffle,10/17/2023,ABM-RBV,EcoAnalysts,8436.3-1,B. LaVoie,695,Atherix sp.,536,Larvae,1,N/A,N/A,0,N,N,N,Y,0,,Animalia,Arthropoda,Hexapoda,Insecta,,,,Diptera,Brachycera,,,Athericidae,,,,Atherix,,sp.,,,130929
RBV-2023-001,Fawn Brook,18409,1,RBV,KN1M2,Riffle,10/17/2023,ABM-RBV,EcoAnalysts,8436.3-1,B. LaVoie,764,Tipula sp.,742,Larvae,1,N/A,N/A,0,N,N,N,Y,0,,Animalia,Arthropoda,Hexapoda,Insecta,,,,Diptera,,,,Tipulidae,Tipulinae,,,Tipula,,sp.,,,119037
RBV-2023-001,Fawn Brook,18409,1,RBV,KN1M2,Riffle,10/17/2023,ABM-RBV,EcoAnalysts,8436.3-1,B. LaVoie,132,Acentrella turbida,448,Larvae,5,N/A,N/A,0,N,N,N,Y,0,,Animalia,Arthropoda,Hexapoda,Insecta,,,,Ephemeroptera,,,,Baetidae,,,,Acentrella,,Acentrella turbida,,,568574
RBV-2023-001,Fawn Brook,18409,1,RBV,KN1M2,Riffle,10/17/2023,ABM-RBV,EcoAnalysts,8436.3-1,B. LaVoie,236,Maccaffertium sp.,67,Larvae,1,N/A,N/A,0,Y,N,N,Y,0,,Animalia,Arthropoda,Hexapoda,Insecta,,,,Ephemeroptera,,,,Heptageniidae,,,,Maccaffertium,,sp.,,,697957
RBV-2023-001,Fawn Brook,18409,1,RBV,KN1M2,Riffle,10/17/2023,ABM-RBV,EcoAnalysts,8436.3-1,B. LaVoie,251,Isonychia sp.,429,Larvae,1,N/A,N/A,0,N,N,N,Y,0,,Animalia,Arthropoda,Hexapoda,Insecta,,,,Ephemeroptera,,,,Isonychiidae,,,,Isonychia,,sp.,,,101041
RBV-2023-001,Fawn Brook,18409,1,RBV,KN1M2,Riffle,10/17/2023,ABM-RBV,EcoAnalysts,8436.3-1,B. LaVoie,1373,Corydalus sp.,(Not on List),Larvae,2,N/A,N/A,0,N,N,N,Y,0,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,Neuropterida,Megaloptera,,,,Corydalidae,Corydalinae,,,Corydalus,,sp.,,,115033
RBV-2023-001,Fawn Brook,18409,1,RBV,KN1M2,Riffle,10/17/2023,ABM-RBV,EcoAnalysts,8436.3-1,B. LaVoie,282,Ophiogomphus sp.,889,Larvae,1,N/A,N/A,0,Y,N,N,Y,0,,Animalia,Arthropoda,Hexapoda,Insecta,,,,Odonata,Anisoptera,,,Gomphidae,,,,Ophiogomphus,,sp.,,,101738
RBV-2023-001,Fawn Brook,18409,1,RBV,KN1M2,Riffle,10/17/2023,ABM-RBV,EcoAnalysts,8436.3-1,B. LaVoie,313,Chloroperlidae,332,Larvae,1,N/A,N/A,0,N,Y,N,Y,0,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Plecoptera,,,,Chloroperlidae,,,,,,,,,103202
RBV-2023-001,Fawn Brook,18409,1,RBV,KN1M2,Riffle,10/17/2023,ABM-RBV,EcoAnalysts,8436.3-1,B. LaVoie,360,Acroneuria abnormis,340,Larvae,1,N/A,N/A,0,N,N,N,Y,0,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Plecoptera,,,,Perlidae,,,,Acroneuria,,Acroneuria abnormis,,,102919
RBV-2023-001,Fawn Brook,18409,1,RBV,KN1M2,Riffle,10/17/2023,ABM-RBV,EcoAnalysts,8436.3-1,B. LaVoie,536,Glossosoma sp.,762,Larvae,1,N/A,N/A,0,N,N,N,Y,0,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Trichoptera,,,,Glossosomatidae,,,,Glossosoma,,sp.,,,117159
RBV-2023-001,Fawn Brook,18409,1,RBV,KN1M2,Riffle,10/17/2023,ABM-RBV,EcoAnalysts,8436.3-1,B. LaVoie,547,Hydropsyche bronta,766,Larvae,1,N/A,N/A,0,N,N,N,Y,0,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Trichoptera,,,,Hydropsychidae,Hydropsychinae,,,Hydropsyche,,Hydropsyche bronta,,,115578
RBV-2023-001,Fawn Brook,18409,1,RBV,KN1M2,Riffle,10/17/2023,ABM-RBV,EcoAnalysts,8436.3-1,B. LaVoie,600,Limnephilidae,807,Larvae,1,N/A,N/A,0,Y,Y,N,Y,0,Pycnopsyche or Hydatophylax,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Trichoptera,,,,Limnephilidae,,,,,,,,,115933
RBV-2023-001,Fawn Brook,18409,1,RBV,KN1M2,Riffle,10/17/2023,ABM-RBV,EcoAnalysts,8436.3-1,B. LaVoie,637,Chimarra sp.,825,Larvae,1,N/A,N/A,0,N,N,N,Y,0,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Trichoptera,,,,Philopotamidae,,,,Chimarra,,sp.,,,115273
RBV-2023-002,Raymond Brook,16999,1,RBV,KN1M2,Riffle,10/29/2023,ABM-RBV,EcoAnalysts,8436.3-2,B. LaVoie,477,Stenelmis sp.,509,Adults,2,N/A,N/A,0,N,N,N,Y,0,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Coleoptera,Polyphaga,,,Elmidae,,,,Stenelmis,,sp.,,,114095
RBV-2023-002,Raymond Brook,16999,1,RBV,KN1M2,Riffle,10/29/2023,ABM-RBV,EcoAnalysts,8436.3-2,B. LaVoie,500,Psephenus herricki,516,Larvae,2,N/A,N/A,0,N,N,N,Y,0,,Animalia,Arthropoda,Hexapoda,Insecta,Pterygota,Neoptera,,Coleoptera,Polyphaga,,,Psephenidae,,,,Psephenus,,Psephenus herricki,,,114072
RBV-2023-002,Raymond Brook,16999,1,RBV,KN1M2,Riffle,10/29/2023,ABM-RBV,EcoAnalysts,8436.3-2,B. LaVoie,765,Chironomidae,551,Larvae,2,N/A,N/A,0,N,N,N,Y,0,,Animalia,Arthropoda,Hexapoda,Insecta,,,,Diptera,Nematocera,,,Chironomidae,,,,,,,,,127917
RBV-2023-002,Raymond Brook,16999,1,RBV,KN1M2,Riffle,10/29/2023,ABM-RBV,EcoAnalysts,8436.3-2,B. LaVoie,764,Tipula sp.,742,Larvae,2,N/A,N/A,0,N,N,N,Y,0,,Animalia,Arthropoda,Hexapoda,Insecta,,,,Diptera,,,,Tipulidae,Tipulinae,,,Tipula,,sp.,,,119037
RBV-2023-002,Raymond Brook,16999,1,RBV,KN1M2,Riffle,10/29/2023,ABM-RBV,EcoAnalysts,8436.3-2,B. LaVoie,132,Acentrella turbida,448,Larvae,1,N/A,N/A,0,N,N,N,Y,0,,Animalia,Arthropoda,Hexapoda,Insecta,,,,Ephemeroptera,,,,Baetidae,,,,Acentrella,,Acentrella turbida,,,568574
RBV-2023-002,Raymond Brook,16999,1,RBV,KN1M2,Riffle,10/29/2023,ABM-RBV,EcoAnalysts,8436.3-2,B. LaVoie,140,Baetis pluto,941,Larvae,1,N/A,N/A,0,N,N,N,Y,0,,Animalia,Arthropoda,Hexapoda,Insecta,,,,Ephemeroptera,,,,Baetidae,,,,Baetis,,Baetis pluto,,,100858
RBV-2023-002,Raymond Brook,16999,1,RBV,KN1M2,Riffle,10/29/2023,ABM-RBV,EcoAnalysts,8436.3-2,B. LaVoie,183,Ephemerella sp.,456,Larvae,2,N/A,N/A,0,Y,N,N,Y,0,,Animalia,Arthropoda,Hexapoda,Insecta,,,,Ephemeroptera,,,,Ephemerellidae,,,,Ephemerella,,sp.,,,101233
RBV-2023-002,Raymond Brook,16999,1,RBV,KN1M2,Riffle,10/29/2023,ABM-RBV,EcoAnalysts,8436.3-2,B. LaVoie,187,Eurylophella sp.,459,Larvae,1,N/A,N/A,0,Y,N,N,Y,0,,Animalia,Arthropoda,Hexapoda,Insecta,,,,Ephemeroptera,,,,Ephemerellidae,,,,Eurylophella,,sp.,,,101324
RBV-2023-002,Raymond Brook,16999,1,RBV,KN1M2,Riffle,10/29/2023,ABM-RBV,EcoAnalysts,8436.3-2,B. LaVoie,235,Maccaffertium vicarium,75,Larvae,1,N/A,N/A,0,N,N,N,Y,0,,Animalia,Arthropoda,Hexapoda,Insecta,,,,Ephemeroptera,,,,Heptageniidae,,,,Maccaffertium,,Maccaffertium vicarium,,,100548
RBV-2023-002,Raymond Brook,16999,1,RBV,KN1M2,Riffle,10/29/2023,ABM-RBV,EcoAnalysts,8436.3-2,B. LaVoie,236,Maccaffertium sp.,67,Larvae,1,N/A,N/A,0,N,Y,N,Y,0,,Animalia,Arthropoda,Hexapoda,Insecta,,,,Ephemeroptera,,,,Heptageniidae,,,,Maccaffertium,,sp.,,,697957
RBV-2023-002,Raymond Brook,16999,1,RBV,KN1M2,Riffle,10/29/2023,ABM-RBV,EcoAnalysts,8436.3-2,B. LaVoie,251,Isonychia sp.,429,Larvae,1,N/A,N/A,0,N,N,N,Y,0,,Animalia,Arthropoda,Hexapoda,Insecta,,,,Ephemeroptera,,,,Isonychiidae,,,,Isonychia,,sp.,,,101041
