"CTDEEPLablD","STA_SEQ","Stream","DATE_COL","Family","finalID"
"RBV-2023-008",14396,"Pine Brook","10/18/2023","Chloroperlidae","Sweltsa"
"RBV-2023-008",14396,"Pine Brook","10/18/2023","Glossosomatidae","Glossosoma"
"RBV-2023-008",14396,"Pine Brook","10/18/2023","Capniidae","Capniidae"
"RBV-2023-008",14396,"Pine Brook","10/18/2023","Perlidae","Acroneuria abnormis"
"RBV-2023-035",14435,"Salmon Brook","9/2/2023","Brachycentridae","Brachycentrus numerosus"
"RBV-2023-035",14435,"Salmon Brook","9/2/2023","Perlidae","Acroneuria abnormis"
"RBV-2023-035",14435,"Salmon Brook","9/2/2023","Glossosomatidae","Glossosoma"
"RBV-2023-035",14435,"Salmon Brook","9/2/2023","Isonychiidae","Isonychia"
"RBV-2023-040",14608,"Bradley Brook","10/14/2023","Rhyacophilidae","Rhyacophila fuscula"
"RBV-2023-040",14608,"Bradley Brook","10/14/2023","Perlodidae","Isoperla"
"RBV-2023-036",14842,"Indian Meadow Brook","10/16/2023","Rhyacophilidae","Rhyacophila fuscula"
"RBV-2023-036",14842,"Indian Meadow Brook","10/16/2023","Chloroperlidae","Sweltsa"
"RBV-2023-036",14842,"Indian Meadow Brook","10/16/2023","Isonychiidae","Isonychia"
"RBV-2023-036",14842,"Indian Meadow Brook","10/16/2023","Glossosomatidae","Glossosoma"
"RBV-2023-036",14842,"Indian Meadow Brook","10/16/2023","Perlidae","Acroneuria"
"RBV-2023-036",14842,"Indian Meadow Brook","10/16/2023","Heptageniidae","Epeorus"
"RBV-2023-036",14842,"Indian Meadow Brook","10/16/2023","Peltoperlidae","Tallaperla"
"RBV-2023-036",14842,"Indian Meadow Brook","10/16/2023","Taeniopterygidae","Taeniopteryx"
"RBV-2023-029",15313,"Harris Brook","4/28/2023","Isonychiidae","Isonychia"
"RBV-2023-029",15313,"Harris Brook","4/28/2023","Perlidae","Acroneuria abnormis"
"RBV-2023-029",15313,"Harris Brook","4/28/2023","Rhyacophilidae","Rhyacophila fuscula"
"RBV-2023-029",15313,"Harris Brook","4/28/2023","Glossosomatidae","Agapetus"
"RBV-2023-026",15314,"NNT to Eightmile at Pleasant Valley Preserve","5/5/2023","Rhyacophilidae","Rhyacophila"
"RBV-2023-026",15314,"NNT to Eightmile at Pleasant Valley Preserve","5/5/2023","Perlodidae","Isoperla"
"RBV-2023-019",15314,"NNT to Eightmile at Pleasant Valley Preserve","10/27/2023","Peltoperlidae","Tallaperla"
"RBV-2023-019",15314,"NNT to Eightmile at Pleasant Valley Preserve","10/27/2023","Perlidae","Perlidae"
"RBV-2023-021",15501,"Cedar Brook","10/27/2023","Capniidae","Capniidae"
