Monitoring Organization:,Local RBV Program,code,Coordinator(s)
Washington_Montessori_School,Washington Montessori School,WMS,Tom Fahsbender
Vernon_Conservation_Commission,Vernon Conservation Commission,VCC,Tom Oullette
Bolton_Conservation_Commission,Bolton Conservation Commission,BCC,Rod Parlee & Peter Van Dine
Pomperaug_River_Watershed_Coalition,Pomperaug River Watershed Coalition,PRWC,Carol Haskins
Salmon_River_Watershed_Partnership,Salmon River Watershed Partnership,SRWP,Patricia Young
Eightmile_River_Wild_&_Scenic_Watershed,Eightmile River Wild & Scenic Watershed,8MILE,Patricia Young
Three_Rivers_Community_College,Three Rivers Community College,TRCC,Diba Khan Bureau 
Farmington_River_Watershed_Association,Farmington River Watershed Association,FRWA,Heather Geist
Greenwich_Inland_Wetlands_&_Watercourses_Agency,Greenwich Inland Wetlands & Watercourses Agency,GIWWA,Jennifer Urena
The_Last_Green_Valley,The Last Green Valley,TLGV,Jean Pillo
Trout_Unlimited_-_Candlewood_Valley_Chapter,Trout Unlimited - Candlewood Valley Chapter,CVTU,Joe Hovious & Paul Shafer
East_Lyme_Commission_for_the_Conservation_of_Natural_Resources,East Lyme Commission for the Conservation of Natural Resources,ELCC,Penny Howell & Don Danila
other,Greenwich Country Day School,GCDS,Nikki Barratt
