"","finalID","Name","CountOffinalID","Synonym","RequestAddition","ManualLink","Notes"
"1","Acari","Acari",1,0,0,NA,""
"2","Ancylidae","Ancylidae",1,0,0,NA,""
"3","Corynoneura caudicula","Corynoneura caudicula",1,0,0,1,"Not in ITIS Other ref? or go up to genus?"
"4","Elimia virginica","Elimia virginica",1,0,0,NA,""
"5","Ferrissia fragilis","Ferrissia fragilis",1,0,0,NA,""
"6","Ferrissia parallela","Ferrissia parallela",1,0,0,NA,""
"7","Ferrissia walkeri","Ferrissia walkeri",1,0,0,NA,""
"8","Fossaria","Fossaria",1,0,0,NA,""
"9","Fossaria parva","Fossaria parva",1,0,0,NA,""
"10","Hirudinea","Hirudinea (Hirudinea)",1,0,0,1,""
"11","Hirudinea species A","Hirudinea (Hirudinea)",1,0,0,1,""
"12","Hirudinea species B","Hirudinea (Hirudinea)",1,0,0,1,""
"13","Limnodrilus claparedianus","Limnodrilus claparedianus",1,0,0,NA,""
"14","Lumbricina","Lumbricina",1,0,0,NA,""
"15","Menetus dilatatus","Menetus dilatatus",1,0,0,NA,""
"16","Mideopsis/Nudomideopsis magnacetabula","Mideopsis/Nudomideopsis magnacetabula",1,0,1,1,"Valid ITIS superfamily Arrenuroidea that covers both the spp. and genus listed A:  https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=895646#null"
"17","Nanocladius crassicornis","Nanocladius crassicornis",1,0,0,1,"Not in ITIS Other ref? or go up to genus?"
"18","Oligochaeta","Oligochaeta (Oligochaeta)",1,0,0,1,""
"19","Optioservus Elegans group","Optioservus Elegans group",1,0,0,1,"Valid name in ITIS: https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=1065305#null"
"20","Orconectes immunis","Orconectes immunis",1,0,0,NA,""
"21","Orconectes limosus","Orconectes limosus",1,0,0,NA,""
"22","Orconectes neglectus","Orconectes neglectus",1,0,0,NA,""
"23","Orconectes rusticus","Orconectes rusticus",1,0,0,NA,""
"24","Orconectes virilis","Orconectes virilis",1,0,0,NA,""
"25","Physa gyrina","Physa gyrina",1,0,0,NA,""
"26","Physa heterostropha","Physa heterostropha",1,0,0,NA,""
"27","Pristinella osborni","Pristinella osborni",1,0,0,NA,""
"28","Promoresia","Promoresia",1,0,0,NA,""
"29","Promoresia elegans","Promoresia elegans",1,0,0,NA,""
"30","Promoresia tardella","Promoresia tardella",1,0,0,NA,""
"31","Protzia exima","Protzia exima",1,0,0,1,"Valid name in ITIS: https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=83171#null"
"32","Simulium ubiquitum","Simulium ubiquitum",1,0,0,1,"Not in ITIS Other ref?  Or go up to genus?"
"33","Simulium venustum group","Simulium venustum group",1,0,0,1,"There is a Simulium venustum complex but not group.  Same thing?"
"34","Stenelmis markeli","Stenelmis markeli",1,0,0,NA,""
"35","Tubificidae","Tubificidae",1,0,0,NA,""
"36","Tubificidae Type I","Tubificidae",1,0,0,1,""
"37","Tubificidae Type II","Tubificidae",1,0,0,1,""
"38","Tubificidae w/ cap setae","Tubificidae",1,0,0,1,""
"39","Tubificidae w/o cap setae","Tubificidae",1,0,0,1,""
"40","Vitrinidae","Vitrinidae",1,0,0,1,"Valid name in ITIS: https://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=77136#null"
