"Stream_Mun","AWQ..Station","DATE_COL","Drunella","Isonychiidae","Epeorus","Peltoperlidae","Perlidae","Pteronarcyidae","MiscSmallStoneflies","Glossosomatidae","Apataniidae","Rhyacophilidae","Brachycentridae","Lepidostomatidae","Hydropsychidae","Philopotamidae","Heptageniidae","Psephenidae","Corydalidae","Anisoptera","Zygoptera","Amphipoda","Isopoda","Hirudinea","Chironimidae","Simuliidae","Gastropoda","Oligochaeta","Tipulidae","Elmidae","Baetidae","Athericidae","Planariidae","Bivalvia"
"Pine Brook (HADDAM)",14396,"10/18/2023",NA,NA,NA,NA,"X",NA,"X","X",NA,NA,NA,NA,"X","X","X","X","X","X",NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,"X",NA,NA,NA
"Salmon Brook (EAST GRANBY)",14435,"9/2/2023",NA,"X",NA,NA,"X",NA,NA,"X",NA,NA,"X",NA,"X","X","X","X",NA,"X",NA,NA,NA,NA,NA,"X",NA,"X",NA,"X","X","X",NA,NA
"Bradley Brook (BURLINGTON)",14608,"10/14/2023",NA,NA,NA,NA,NA,NA,"X",NA,NA,"X",NA,NA,"X","X",NA,NA,NA,"X",NA,NA,"X",NA,NA,"X",NA,"X","X",NA,"X",NA,NA,NA
"Indian Meadow Brook (WINCHESTER)",14842,"10/16/2023",NA,"X","X","X","X",NA,"X","X",NA,"X",NA,NA,"X","X",NA,NA,"X","X",NA,NA,NA,NA,NA,"X",NA,"X","X","X","X",NA,NA,NA
"Harris Brook (SALEM)",15313,"4/28/2023",NA,"X",NA,NA,"X",NA,NA,"X",NA,"X",NA,NA,"X","X","X","X","X","X",NA,NA,NA,NA,NA,NA,NA,"X","X",NA,NA,NA,NA,NA
"NNT to Eightmile at Pleasant Valley Preserve (LYME)",15314,"10/27/2023",NA,NA,NA,"X","X",NA,NA,NA,NA,NA,NA,NA,"X","X","X",NA,"X","X","X","X",NA,NA,NA,NA,NA,"X","X",NA,NA,NA,NA,NA
"NNT to Eightmile at Pleasant Valley Preserve (LYME)",15314,"5/5/2023",NA,NA,NA,NA,NA,NA,"X",NA,NA,"X",NA,NA,NA,NA,"X",NA,"X","X",NA,NA,NA,NA,NA,"X",NA,NA,"X",NA,NA,NA,NA,NA
"Cedar Brook (LYME)",15501,"10/27/2023",NA,NA,NA,NA,"X",NA,"X",NA,NA,NA,NA,NA,"X","X","X",NA,"X","X",NA,NA,NA,NA,NA,NA,NA,"X","X","X",NA,NA,NA,NA
"Barrow's Brook (VERNON)",15594,"10/28/2023",NA,NA,NA,"X",NA,NA,NA,NA,NA,"X","X",NA,"X","X","X","X",NA,"X",NA,NA,NA,NA,NA,NA,NA,"X","X",NA,"X",NA,NA,NA
"Beaver Brook (BARKHAMSTED)",15680,"9/20/2023",NA,NA,NA,"X","X","X","X","X",NA,NA,NA,NA,"X","X","X","X","X",NA,NA,NA,NA,NA,NA,"X",NA,"X","X",NA,"X",NA,NA,NA
"Flat Brook (EAST HAMPTON)",16121,"9/16/2023",NA,"X",NA,NA,"X",NA,"X",NA,NA,NA,"X",NA,"X","X","X","X","X","X",NA,NA,NA,NA,NA,NA,NA,"X","X","X",NA,NA,NA,NA
"Barbour Brook (CANTON)",16379,"10/8/2023",NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,"X","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moosehorn Brook (GRANBY)",16861,"10/31/2023",NA,NA,NA,NA,"X","X",NA,NA,NA,"X",NA,NA,"X",NA,"X",NA,"X","X",NA,NA,NA,NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA
"Railroad Brook (VERNON)",16995,"10/28/2023",NA,NA,NA,NA,"X",NA,"X","X",NA,"X",NA,NA,"X","X","X","X",NA,"X",NA,NA,NA,NA,NA,NA,NA,"X","X","X",NA,NA,NA,NA
"Raymond Brook (HEBRON)",16999,"10/29/2023",NA,"X",NA,NA,"X",NA,"X","X",NA,NA,"X",NA,"X","X","X","X","X","X",NA,"X",NA,NA,NA,NA,NA,NA,"X","X","X",NA,NA,NA
"Salmon River (COLCHESTER)",17022,"9/9/2023",NA,"X","X",NA,"X",NA,NA,"X",NA,NA,NA,NA,"X","X",NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA,"X",NA,NA
"Fourmile River (EAST LYME)",17322,"10/24/2023",NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,"X",NA,"X","X","X",NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA
"Wood Creek (BETHLEHEM)",17333,"9/16/2023",NA,"X","X","X","X","X","X",NA,NA,"X",NA,NA,"X","X","X","X","X",NA,NA,NA,NA,NA,NA,NA,NA,"X","X","X","X",NA,NA,NA
"Peake Brook (WOODSTOCK)",17650,"10/26/2023",NA,NA,NA,"X","X",NA,"X","X","X","X","X",NA,"X","X","X","X","X","X",NA,"X",NA,NA,NA,"X",NA,"X","X","X","X",NA,NA,NA
"Peckham Brook (WOODSTOCK)",17731,"10/16/2023",NA,NA,NA,"X","X",NA,"X","X",NA,"X",NA,NA,"X","X","X","X",NA,"X",NA,NA,"X",NA,NA,"X",NA,"X","X",NA,"X",NA,NA,NA
"English Neighborhood Brook (WOODSTOCK)",17867,"11/12/2023",NA,"X",NA,"X",NA,NA,"X","X","X","X",NA,NA,"X","X","X","X","X",NA,NA,"X",NA,NA,NA,"X",NA,"X","X","X",NA,NA,NA,NA
"Big Brook (SALEM)",17992,"9/6/2023",NA,NA,NA,NA,"X",NA,NA,NA,NA,"X",NA,NA,"X","X","X","X","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA,NA,NA
"Fawn Brook (MARLBOROUGH)",18409,"10/17/2023",NA,"X",NA,NA,"X",NA,"X","X",NA,NA,NA,NA,"X","X","X","X",NA,"X",NA,NA,NA,NA,NA,NA,NA,"X","X","X","X","X",NA,NA
"Latimer Brook (EAST LYME)",18413,"10/24/2023",NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,"X",NA,"X","X","X","X","X","X","X","X",NA,NA,NA,NA,NA,"X","X","X",NA,"X",NA,NA
"Latimer Brook (EAST LYME)",18495,"10/24/2023",NA,NA,NA,NA,"X",NA,NA,"X",NA,NA,"X",NA,"X","X","X","X",NA,"X",NA,"X","X","X",NA,NA,NA,"X","X","X",NA,NA,NA,NA
"Muddy Brook (EAST HADDAM)",18694,"5/5/2023",NA,NA,"X","X","X",NA,NA,NA,NA,"X",NA,NA,"X","X",NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,"X","X",NA,"X",NA,NA,NA
"Baker Brook (BOLTON)",18821,"10/29/2023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X","X",NA,NA,NA,NA,NA
"Moodus River (EAST HADDAM)",18871,"11/12/2023",NA,NA,NA,NA,"X",NA,"X",NA,NA,"X",NA,NA,"X","X","X",NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,"X","X",NA,"X",NA,NA,NA
"NNT to Shepaug River (WASHINGTON)",18922,"9/25/2023",NA,NA,NA,"X",NA,NA,NA,"X",NA,NA,NA,NA,"X","X","X",NA,"X","X",NA,NA,NA,NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA
"Fraser Brook (SALEM)",18961,"4/28/2023",NA,NA,"X",NA,"X",NA,"X",NA,NA,"X",NA,NA,"X",NA,NA,"X","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA
"East Meadow Brook (WOODBURY)",18993,"9/16/2023",NA,"X",NA,NA,"X",NA,NA,"X",NA,NA,NA,NA,"X",NA,"X",NA,"X","X",NA,NA,NA,NA,NA,"X",NA,"X","X","X","X","X",NA,NA
"Harris Brook (SALEM)",19214,"4/28/2023","X","X",NA,NA,"X",NA,NA,"X",NA,"X","X",NA,"X","X",NA,NA,"X","X",NA,NA,NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA
"Harris Brook (SALEM)",19214,"10/27/2023",NA,"X",NA,"X","X",NA,NA,NA,NA,NA,NA,NA,"X","X","X","X","X","X","X",NA,NA,NA,NA,NA,NA,"X","X",NA,NA,NA,NA,NA
"Ransom Brook (SALEM)",19215,"4/28/2023",NA,NA,NA,NA,"X",NA,"X",NA,NA,"X",NA,NA,"X","X","X",NA,"X","X",NA,NA,NA,NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA
"Ransom Brook (SALEM)",19215,"10/27/2023",NA,NA,NA,"X","X",NA,NA,NA,NA,NA,"X",NA,"X","X","X",NA,NA,"X","X",NA,NA,NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA
"Blackledge River (MARLBOROUGH)",19455,"10/17/2023",NA,"X",NA,NA,"X",NA,NA,"X",NA,NA,NA,NA,"X","X",NA,"X","X","X",NA,"X",NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA
"Hedge Brook (EAST HADDAM)",20126,"11/3/2023",NA,NA,NA,"X","X",NA,NA,NA,NA,NA,NA,NA,"X","X","X",NA,"X","X",NA,NA,NA,NA,NA,NA,NA,NA,"X",NA,NA,"X",NA,NA
"Hedge Brook (EAST HADDAM)",20126,"5/5/2023",NA,NA,NA,NA,NA,NA,"X",NA,NA,"X",NA,NA,NA,"X",NA,NA,"X",NA,NA,NA,NA,NA,NA,"X",NA,"X","X",NA,"X",NA,NA,NA
"Reichenbach Brook (WOODBURY)",20154,"9/16/2023",NA,NA,NA,NA,"X",NA,NA,"X",NA,"X",NA,NA,"X","X","X",NA,"X",NA,NA,NA,NA,NA,NA,"X",NA,"X","X",NA,"X",NA,NA,NA
"Rickenback Brook (VERNON)",20371,"10/28/2023",NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,"X","X","X",NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,"X","X",NA,NA,NA,NA,NA
"Bigelow Brook (EAST HAMPTON)",20373,"9/9/2023",NA,NA,NA,"X","X",NA,"X",NA,NA,"X",NA,NA,"X","X","X",NA,"X","X",NA,NA,NA,NA,NA,NA,NA,NA,"X",NA,"X",NA,NA,NA
"Cranberry Meadow Brook (EAST LYME)",20375,"10/31/2023",NA,NA,NA,"X","X",NA,"X",NA,NA,NA,NA,NA,NA,"X","X","X","X","X","X",NA,NA,NA,NA,NA,NA,"X","X","X",NA,"X",NA,NA
"Carmel Hill Brook (WOODBURY)",20486,"9/17/2023",NA,"X",NA,"X","X",NA,NA,NA,NA,"X",NA,NA,"X",NA,"X","X",NA,"X",NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,"X",NA,NA,NA
"Burnham Brook (EAST HADDAM)",20492,"5/5/2023",NA,NA,NA,NA,NA,NA,"X",NA,NA,"X",NA,NA,NA,NA,NA,"X","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA
"NNT to Bunnell Brook (Burlington)",20666,"10/4/2023",NA,NA,NA,"X","X",NA,"X",NA,NA,"X",NA,NA,"X","X",NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA
