"Monitoring Location ID","Activity ID","Activity Start Date","Analysis Start Date","Subject Taxonomic Name","Laboratory Name","Result Comment"
18409,"2023001_BioResults","10/17/2023","10/17/2023","Corydalus","EcoAnalysts","Moderately Wanted Taxa"
16999,"2023002_BioResults","10/29/2023","10/29/2023","Corydalus","EcoAnalysts","Moderately Wanted Taxa"
17022,"2023004_BioResults","9/9/2023","9/9/2023","Corydalus","EcoAnalysts","Moderately Wanted Taxa"
18871,"2023005_BioResults","11/12/2023","11/12/2023","Corydalus","EcoAnalysts","Moderately Wanted Taxa"
19455,"2023006_BioResults","10/17/2023","10/17/2023","Corydalus","EcoAnalysts","Moderately Wanted Taxa"
15314,"2023026_BioResults","5/5/2023","5/5/2023","Remenus","EcoAnalysts",NA
20492,"2023030_BioResults","5/5/2023","5/5/2023","Remenus","EcoAnalysts",NA
20126,"2023033_BioResults","5/5/2023","5/5/2023","Helocombus","EcoAnalysts",NA
20126,"2023033_BioResults","5/5/2023","5/5/2023","Remenus","EcoAnalysts",NA
19214,"2023034_BioResults","4/28/2023","4/28/2023","Corydalus","EcoAnalysts","Moderately Wanted Taxa"
14435,"2023035_BioResults","9/2/2023","9/2/2023","Protoplasa","EcoAnalysts",NA
14435,"2023035_BioResults","9/2/2023","9/2/2023","Iswaeon","EcoAnalysts",NA
20885,"2023038_BioResults","9/19/2023","9/19/2023","Malirekus","EcoAnalysts",NA
20885,"2023038_BioResults","9/19/2023","9/19/2023","Amiocentrus aspilus","EcoAnalysts",NA
20886,"2023039_BioResults","10/26/2023","10/26/2023","Hydra","EcoAnalysts",NA
15594,"2023048_BioResults","10/28/2023","10/28/2023","Adicrophleps hitchcocki","EcoAnalysts","MOST Wanted Taxa"
20885,"2023038_BioResults","9/19/2023","9/19/2023","Adicrophleps hitchcocki","EcoAnalysts","MOST Wanted Taxa"
14396,"2023008_BioResults","10/18/2023","10/18/2023","Ceratopsyche morosa","EcoAnalysts","Moderately Wanted Taxa"
16999,"2023002_BioResults","10/29/2023","10/29/2023","Ceratopsyche morosa","EcoAnalysts","Moderately Wanted Taxa"
17022,"2023004_BioResults","9/9/2023","9/9/2023","Ceratopsyche morosa","EcoAnalysts","Moderately Wanted Taxa"
20880,"2023016_BioResults","11/17/2023","11/17/2023","Maccaffertium","EcoAnalysts","Moderately Wanted Taxa"
16999,"2023002_BioResults","10/29/2023","10/29/2023","Maccaffertium","EcoAnalysts","Moderately Wanted Taxa"
18993,"2023056_BioResults","9/16/2023","9/16/2023","Maccaffertium","EcoAnalysts","Moderately Wanted Taxa"
20373,"2023007_BioResults","9/9/2023","9/9/2023","Maccaffertium","EcoAnalysts","Moderately Wanted Taxa"
16121,"2023003_BioResults","9/16/2023","9/16/2023","Maccaffertium","EcoAnalysts","Moderately Wanted Taxa"
15680,"2023043_BioResults","9/20/2023","9/20/2023","Maccaffertium","EcoAnalysts","Moderately Wanted Taxa"
