"Monitoring Location ID","Activity ID","Activity Start Date","Activity Metric Score","Activity Metric Value","Activity Metric Comment"
18409,"2023001 _TaxaMostW","10/17/2023",4,4,"DEEP Field ID:  RBV-2023-001  / Taxonomy Lab ID:  8436.3-1"
16999,"2023002 _TaxaMostW","10/29/2023",5,5,"DEEP Field ID:  RBV-2023-002  / Taxonomy Lab ID:  8436.3-2"
16121,"2023003 _TaxaMostW","9/16/2023",4,4,"DEEP Field ID:  RBV-2023-003  / Taxonomy Lab ID:  8436.3-3"
17022,"2023004 _TaxaMostW","9/9/2023",4,4,"DEEP Field ID:  RBV-2023-004  / Taxonomy Lab ID:  8436.3-4"
18871,"2023005 _TaxaMostW","11/12/2023",4,4,"DEEP Field ID:  RBV-2023-005  / Taxonomy Lab ID:  8436.3-5"
19455,"2023006 _TaxaMostW","10/17/2023",3,3,"DEEP Field ID:  RBV-2023-006  / Taxonomy Lab ID:  8436.3-6"
20373,"2023007 _TaxaMostW","9/9/2023",4,4,"DEEP Field ID:  RBV-2023-007  / Taxonomy Lab ID:  8436.3-7"
14396,"2023008 _TaxaMostW","10/18/2023",4,4,"DEEP Field ID:  RBV-2023-008  / Taxonomy Lab ID:  8436.3-8"
17731,"2023009 _TaxaMostW","10/16/2023",5,5,"DEEP Field ID:  RBV-2023-009  / Taxonomy Lab ID:  8436.3-9"
20876,"2023010 _TaxaMostW","11/16/2023",4,4,"DEEP Field ID:  RBV-2023-010  / Taxonomy Lab ID:  8436.3-10"
20877,"2023011 _TaxaMostW","11/15/2023",4,4,"DEEP Field ID:  RBV-2023-011  / Taxonomy Lab ID:  8436.3-11"
17867,"2023012 _TaxaMostW","11/12/2023",7,7,"DEEP Field ID:  RBV-2023-012  / Taxonomy Lab ID:  8436.3-12"
20878,"2023013 _TaxaMostW","10/23/2023",0,0,"DEEP Field ID:  RBV-2023-013  / Taxonomy Lab ID:  8436.3-13"
17650,"2023014 _TaxaMostW","10/26/2023",7,7,"DEEP Field ID:  RBV-2023-014  / Taxonomy Lab ID:  8436.3-14"
20879,"2023015 _TaxaMostW","11/30/2023",9,9,"DEEP Field ID:  RBV-2023-015  / Taxonomy Lab ID:  8436.3-15"
20880,"2023016 _TaxaMostW","11/17/2023",10,10,"DEEP Field ID:  RBV-2023-016  / Taxonomy Lab ID:  8436.3-16"
20881,"2023017 _TaxaMostW","10/1/2023",5,5,"DEEP Field ID:  RBV-2023-017  / Taxonomy Lab ID:  8436.3-17"
20882,"2023018 _TaxaMostW","11/3/2023",4,4,"DEEP Field ID:  RBV-2023-018  / Taxonomy Lab ID:  8436.3-18"
15314,"2023019 _TaxaMostW","10/27/2023",2,2,"DEEP Field ID:  RBV-2023-019  / Taxonomy Lab ID:  8436.3-19"
20883,"2023020 _TaxaMostW","11/3/2023",4,4,"DEEP Field ID:  RBV-2023-020  / Taxonomy Lab ID:  8436.3-20"
15501,"2023021 _TaxaMostW","10/27/2023",2,2,"DEEP Field ID:  RBV-2023-021  / Taxonomy Lab ID:  8436.3-21"
19214,"2023022 _TaxaMostW","10/27/2023",3,3,"DEEP Field ID:  RBV-2023-022  / Taxonomy Lab ID:  8436.3-22"
19215,"2023023 _TaxaMostW","4/28/2023",3,3,"DEEP Field ID:  RBV-2023-023  / Taxonomy Lab ID:  8436.3-23"
17992,"2023024 _TaxaMostW","9/6/2023",2,2,"DEEP Field ID:  RBV-2023-024  / Taxonomy Lab ID:  8436.3-24"
18694,"2023025 _TaxaMostW","5/5/2023",4,4,"DEEP Field ID:  RBV-2023-025  / Taxonomy Lab ID:  8436.3-25"
15314,"2023026 _TaxaMostW","5/5/2023",2,2,"DEEP Field ID:  RBV-2023-026  / Taxonomy Lab ID:  8436.3-26"
19215,"2023027 _TaxaMostW","10/27/2023",3,3,"DEEP Field ID:  RBV-2023-027  / Taxonomy Lab ID:  8436.3-27"
20126,"2023028 _TaxaMostW","11/3/2023",2,2,"DEEP Field ID:  RBV-2023-028  / Taxonomy Lab ID:  8436.3-28"
15313,"2023029 _TaxaMostW","4/28/2023",4,4,"DEEP Field ID:  RBV-2023-029  / Taxonomy Lab ID:  8436.3-29"
20492,"2023030 _TaxaMostW","5/5/2023",2,2,"DEEP Field ID:  RBV-2023-030  / Taxonomy Lab ID:  8436.3-30"
20884,"2023031 _TaxaMostW","11/3/2023",2,2,"DEEP Field ID:  RBV-2023-031  / Taxonomy Lab ID:  8436.3-31"
18961,"2023032 _TaxaMostW","4/28/2023",4,4,"DEEP Field ID:  RBV-2023-032  / Taxonomy Lab ID:  8436.3-32"
20126,"2023033 _TaxaMostW","5/5/2023",3,3,"DEEP Field ID:  RBV-2023-033  / Taxonomy Lab ID:  8436.3-33"
19214,"2023034 _TaxaMostW","4/28/2023",6,6,"DEEP Field ID:  RBV-2023-034  / Taxonomy Lab ID:  8436.3-34"
14435,"2023035 _TaxaMostW","9/2/2023",4,4,"DEEP Field ID:  RBV-2023-035  / Taxonomy Lab ID:  8436.3-35"
14842,"2023036 _TaxaMostW","10/16/2023",8,8,"DEEP Field ID:  RBV-2023-036  / Taxonomy Lab ID:  8436.3-36"
20666,"2023037 _TaxaMostW","10/4/2023",5,5,"DEEP Field ID:  RBV-2023-037  / Taxonomy Lab ID:  8436.3-37"
20885,"2023038 _TaxaMostW","9/19/2023",5,5,"DEEP Field ID:  RBV-2023-038  / Taxonomy Lab ID:  8436.3-38"
20886,"2023039 _TaxaMostW","10/26/2023",2,2,"DEEP Field ID:  RBV-2023-039  / Taxonomy Lab ID:  8436.3-39"
14608,"2023040 _TaxaMostW","10/14/2023",2,2,"DEEP Field ID:  RBV-2023-040  / Taxonomy Lab ID:  8436.3-40"
20887,"2023041 _TaxaMostW","9/17/2023",5,5,"DEEP Field ID:  RBV-2023-041  / Taxonomy Lab ID:  8436.3-41"
16861,"2023042 _TaxaMostW","10/31/2023",3,3,"DEEP Field ID:  RBV-2023-042  / Taxonomy Lab ID:  8436.3-42"
15680,"2023043 _TaxaMostW","9/20/2023",5,5,"DEEP Field ID:  RBV-2023-043  / Taxonomy Lab ID:  8436.3-43"
16379,"2023044 _TaxaMostW","10/8/2023",1,1,"DEEP Field ID:  RBV-2023-044  / Taxonomy Lab ID:  8436.3-44"
18922,"2023045 _TaxaMostW","9/25/2023",2,2,"DEEP Field ID:  RBV-2023-045  / Taxonomy Lab ID:  8436.3-45"
20888,"2023046 _TaxaMostW","11/9/2023",0,0,"DEEP Field ID:  RBV-2023-046  / Taxonomy Lab ID:  8436.3-46"
16995,"2023047 _TaxaMostW","10/28/2023",4,4,"DEEP Field ID:  RBV-2023-047  / Taxonomy Lab ID:  8436.3-47"
15594,"2023048 _TaxaMostW","10/28/2023",3,3,"DEEP Field ID:  RBV-2023-048  / Taxonomy Lab ID:  8436.3-48"
20371,"2023049 _TaxaMostW","10/28/2023",1,1,"DEEP Field ID:  RBV-2023-049  / Taxonomy Lab ID:  8436.3-49"
20889,"2023050 _TaxaMostW","11/28/2023",0,0,"DEEP Field ID:  RBV-2023-050  / Taxonomy Lab ID:  8436.3-50"
18495,"2023051 _TaxaMostW","10/24/2023",3,3,"DEEP Field ID:  RBV-2023-051  / Taxonomy Lab ID:  8436.3-51"
20375,"2023052 _TaxaMostW","10/31/2023",3,3,"DEEP Field ID:  RBV-2023-052  / Taxonomy Lab ID:  8436.3-52"
17322,"2023053 _TaxaMostW","10/24/2023",2,2,"DEEP Field ID:  RBV-2023-053  / Taxonomy Lab ID:  8436.3-53"
18413,"2023054 _TaxaMostW","10/24/2023",2,2,"DEEP Field ID:  RBV-2023-054  / Taxonomy Lab ID:  8436.3-54"
18821,"2023055 _TaxaMostW","10/29/2023",0,0,"DEEP Field ID:  RBV-2023-055  / Taxonomy Lab ID:  8436.3-55"
18993,"2023056 _TaxaMostW","9/16/2023",3,3,"DEEP Field ID:  RBV-2023-056  / Taxonomy Lab ID:  8436.3-56"
20486,"2023057 _TaxaMostW","9/17/2023",4,4,"DEEP Field ID:  RBV-2023-057  / Taxonomy Lab ID:  8436.3-57"
20154,"2023058 _TaxaMostW","9/16/2023",3,3,"DEEP Field ID:  RBV-2023-058  / Taxonomy Lab ID:  8436.3-58"
17333,"2023059 _TaxaMostW","9/16/2023",8,8,"DEEP Field ID:  RBV-2023-059  / Taxonomy Lab ID:  8436.3-59"
