"","Waterbody","Station ID","Org Name","Date Collected","Total Most Wanted Count","Drunella","Isonychiidae","Epeorus","Peltoperlidae","Perlidae","Pteronarcyidae","MiscSmallStoneflies","Glossosomatidae","Apataniidae","Rhyacophilidae","Brachycentridae","Lepidostomatidae","Hydropsychidae","Philopotamidae","Heptageniidae","Psephenidae","Corydalidae","Anisoptera","Zygoptera","Amphipoda","Isopoda","Hirudinea","Chironimidae","Simuliidae","Gastropoda","Oligochaeta","Tipulidae","Elmidae","Baetidae","Athericidae","Planariidae","Bivalvia"
"1","Pine Brook  (HADDAM)",14396,"SRWP","11/10/2024",6, , , , ,"X", ,"X","X", , ,"X","X","X","X","X","X","X","X", , , , , , , , ,"X","X", , , , 
"2","Saugatuck River (WESTPORT)",14445,"HW","10/21/2024",4, ,"X", , , , , ,"X", ,"X", ,"X","X","X","X","X", , , , , , , ,"X", ,"X", ,"X","X", , , 
"3","Judd Brook (HEBRON)",15045,"SRWP","9/21/2024",3, ,"X", , ,"X", , ,"X", , , , ,"X","X", , ,"X","X", , , , , , , ,"X", ,"X","X","X", , 
"4","Tankherhoosen River (VERNON)",15205,"VCC","10/23/2024",3, , , ,"X","X", , , , ,"X", , ,"X","X","X","X","X", , , , , , , , , ,"X","X","X","X", , 
"5","East Branch of the Byram River (GREENWICH)",15239,"GIWWA","11/20/2024",3, ,"X", , , , ,"X", , , , , ,"X","X","X", , , , , , , , , , , ,"X", , , , , 
"6","Mashamoquet Brook (POMFRET)",15249,"TLGV","10/18/2024",4, ,"X","X", ,"X", , ,"X", , , , ,"X","X","X","X","X", , , , , , , , ,"X", ,"X","X", , , 
"7","Mashamoquet Brook (POMFRET)",15249,"CTDEEP","9/25/2024",6, ,"X", ,"X","X", ,"X","X", ,"X", , ,"X","X","X","X","X", , , , , , ,"X", ,"X", ,"X","X","X", , 
"8","Pootatuck River (NEWTOWN)",15280,"CVTU","10/26/2024",5, ,"X", , ,"X", ,"X","X", ,"X", , ,"X","X","X","X","X", , ,"X", , , , , ,"X","X", ,"X", , , 
"9","Beaver Brook (LYME)",15312,"TRCC","10/18/2024",4, ,"X", ,"X","X", ,"X", , , , , ,"X","X","X", ,"X","X", , , , , , , , ,"X", , , , , 
"10","Harris Brook  (SALEM)",15313,"TRCC","10/11/2024",3, ,"X", , ,"X", , , , , ,"X", ,"X","X","X","X","X","X", , , , , , , , , , ,"X", , , 
"11","Un-named Tributary of Main Stem of Eightmile at Pleasant Valley Preserve (LYME)",15314,"TRCC","4/12/2024",4, , ,"X","X","X", , , , ,"X", , ,"X", ,"X", ,"X","X", , , , , , , , ,"X", , , , , 
"12","Saugatuck River (WESTON)",15370,"HW","10/23/2024",2, ,"X", , , , , , , ,"X", , ,"X","X","X", , , , , , , , , , , , , , , , , 
"13","Saugatuck River (WESTON)",15370,"TMA","11/22/2024",4, ,"X", , , , ,"X", , ,"X", , ,"X","X","X", , , , ,"X","X","X", , , , ,"X", , , , , 
"14","Aspetuck River (WESTPORT)",15375,"HW","10/22/2024",3, ,"X", , , , , ,"X", , , ,"X","X","X","X","X", , , , , , , ,"X", , , , ,"X", , , 
"15","Deep Brook (NEWTOWN)",15764,"CTDEEP","9/23/2024",2, ,"X", , ,"X", , , , ,"X", , ,"X","X","X","X", , , , , , , ,"X", , , ,"X","X", , , 
"16","Deep Brook (NEWTOWN)",15764,"CTDEEP","9/23/2024",3, ,"X", , ,"X", , , , ,"X", , ,"X","X","X","X", , , , , , , ,"X", , , ,"X","X", , , 
"17","Deep Brook (NEWTOWN)",15839,"CVTU","10/13/2024",4, ,"X", , ,"X","X","X", , , , , ,"X","X","X","X", , , , , , , , , ,"X","X", , ,"X", , 
"18","Flat Brook  (EAST HAMPTON)",16121,"SRWP","9/29/2024",5, ,"X","X", ,"X", ,"X","X", , , , ,"X","X","X","X","X","X", , , , , , , , ,"X", ,"X", , , 
