"CTDEEP.LabID","STA_SEQ","Stream","DATE_COL","Family","finalID"
"RBV-2024-030",14396,"Pine Brook ","11/10/2024","Capniidae","Allocapnia"
"RBV-2024-030",14396,"Pine Brook ","11/10/2024","Perlidae","Acroneuria"
"RBV-2024-030",14396,"Pine Brook ","11/10/2024","Chloroperlidae","Sweltsa"
"RBV-2024-030",14396,"Pine Brook ","11/10/2024","Glossosomatidae","Glossosoma"
"RBV-2024-030",14396,"Pine Brook ","11/10/2024","Brachycentridae","Brachycentrus lateralis"
"RBV-2024-030",14396,"Pine Brook ","11/10/2024","Lepidostomatidae","Lepidostoma"
"RBV-2024-041",14445,"Saugatuck River","10/21/2024","Lepidostomatidae","Lepidostoma"
"RBV-2024-041",14445,"Saugatuck River","10/21/2024","Rhyacophilidae","Rhyacophila fuscula"
"RBV-2024-041",14445,"Saugatuck River","10/21/2024","Isonychiidae","Isonychia"
"RBV-2024-041",14445,"Saugatuck River","10/21/2024","Glossosomatidae","Glossosoma"
"RBV-2024-024",15045,"Judd Brook","9/21/2024","Glossosomatidae","Glossosoma"
"RBV-2024-024",15045,"Judd Brook","9/21/2024","Isonychiidae","Isonychia"
"RBV-2024-024",15045,"Judd Brook","9/21/2024","Perlidae","Acroneuria abnormis"
"RBV-2024-059",15205,"Tankherhoosen River","10/23/2024","Peltoperlidae","Tallaperla"
"RBV-2024-059",15205,"Tankherhoosen River","10/23/2024","Perlidae","Eccoptura xanthenes"
"RBV-2024-059",15205,"Tankherhoosen River","10/23/2024","Rhyacophilidae","Rhyacophila fuscula"
"RBV-2024-038",15239,"East Branch of the Byram River","11/20/2024","Taeniopterygidae","Taeniopteryx"
"RBV-2024-038",15239,"East Branch of the Byram River","11/20/2024","Isonychiidae","Isonychia"
"RBV-2024-038",15239,"East Branch of the Byram River","11/20/2024","Capniidae","Allocapnia"
"RBV-2024-050",15249,"Mashamoquet Brook","10/18/2024","Isonychiidae","Isonychia"
"RBV-2024-050",15249,"Mashamoquet Brook","10/18/2024","Glossosomatidae","Glossosoma"
"RBV-2024-062",15249,"Mashamoquet Brook","9/25/2024","Glossosomatidae","Glossosoma"
"RBV-2024-062",15249,"Mashamoquet Brook","9/25/2024","Rhyacophilidae","Rhyacophila fuscula"
"RBV-2024-062",15249,"Mashamoquet Brook","9/25/2024","Perlidae","Paragnetina media"
"RBV-2024-050",15249,"Mashamoquet Brook","10/18/2024","Heptageniidae","Epeorus"
"RBV-2024-062",15249,"Mashamoquet Brook","9/25/2024","Peltoperlidae","Tallaperla"
"RBV-2024-050",15249,"Mashamoquet Brook","10/18/2024","Perlidae","Paragnetina immarginata"
"RBV-2024-062",15249,"Mashamoquet Brook","9/25/2024","Chloroperlidae","Chloroperlidae"
"RBV-2024-062",15249,"Mashamoquet Brook","9/25/2024","Isonychiidae","Isonychia"
"RBV-2024-057",15280,"Pootatuck River","10/26/2024","Perlidae","Paragnetina media"
"RBV-2024-057",15280,"Pootatuck River","10/26/2024","Capniidae","Allocapnia"
"RBV-2024-057",15280,"Pootatuck River","10/26/2024","Glossosomatidae","Glossosoma"
"RBV-2024-057",15280,"Pootatuck River","10/26/2024","Rhyacophilidae","Rhyacophila fuscula"
"RBV-2024-057",15280,"Pootatuck River","10/26/2024","Isonychiidae","Isonychia"
"RBV-2024-013",15312,"Beaver Brook","10/18/2024","Perlidae","Acroneuria abnormis"
"RBV-2024-013",15312,"Beaver Brook","10/18/2024","Capniidae","Capniidae"
"RBV-2024-013",15312,"Beaver Brook","10/18/2024","Isonychiidae","Isonychia"
"RBV-2024-013",15312,"Beaver Brook","10/18/2024","Peltoperlidae","Tallaperla"
"RBV-2024-010",15313,"Harris Brook ","10/11/2024","Brachycentridae","Brachycentrus lateralis"
"RBV-2024-010",15313,"Harris Brook ","10/11/2024","Isonychiidae","Isonychia"
"RBV-2024-010",15313,"Harris Brook ","10/11/2024","Perlidae","Acroneuria abnormis"
