finalID,Name,CountOffinalID,Synonym,RequestAddition,ManualLink,Notes
Ablabesmyia,Ablabesmyia,1,0,0,,
Ablabesmyia annulata,Ablabesmyia annulata,1,0,0,,
Ablabesmyia aspera,Ablabesmyia aspera,1,0,0,,
Ablabesmyia janta,Ablabesmyia janta,1,0,0,,
Ablabesmyia mallochi,Ablabesmyia mallochi,1,0,0,,
Ablabesmyia peleensis,Ablabesmyia peleensis,1,0,0,,
Acanthocyclops brevispinosus,Acanthocyclops brevispinosus,1,0,0,,
Acanthocyclops vernalis,Acanthocyclops vernalis,1,0,0,,
Acari,Acari,1,0,0,,
Acentrella,Acentrella,1,0,0,,
Acentrella nadineae,Acentrella nadineae,1,0,0,,
Acentrella parvula,Acentrella parvula,1,0,0,,
Acentrella turbida,Acentrella turbida,1,0,0,,
Acerpenna,Acerpenna,1,0,0,,
Acerpenna macdunnoughi,Acerpenna macdunnoughi,1,0,0,,
Acerpenna pygmaea,Acerpenna pygmaea,1,0,0,,
Acroneuria,Acroneuria,1,0,0,,
Acroneuria abnormis,Acroneuria abnormis,1,0,0,,
Acroneuria carolinensis,Acroneuria carolinensis,1,0,0,,
Acroneuria lycorias,Acroneuria lycorias,1,0,0,,
Actinobdella,Actinobdella,1,0,0,,
Adicrophleps hitchcocki,Adicrophleps hitchcocki,1,0,0,,
Aeolosoma,Aeolosoma,1,0,0,,
Aeolosomatidae,Aeolosomatidae,1,0,0,,
Aeshna,Aeshna,1,0,0,,
Aeshnidae,Aeshnidae,1,0,0,,
Agabus,Agabus,1,0,0,,
Agapetus,Agapetus,1,0,0,,
Agarodes,Agarodes,1,0,0,,
Agnetina,Agnetina,1,0,0,,
Agnetina capitata,Agnetina capitata,1,0,0,,
Agraylea,Agraylea,1,0,0,,
Agrypnia,Agrypnia,1,0,0,,
Allocapnia,Allocapnia,1,0,0,,
Allognosta,Allognosta,1,0,0,,
Alloperla,Alloperla,1,0,0,,
Alloperla usa,Alloperla usa,1,0,0,,
Ameletus,Ameletus,1,0,0,,
Ameletus lineatus,Ameletus lineatus,1,0,0,,
Amnicola limosus,Amnicola limosus,1,1,0,1,Amnicola limosa- Updated on master taxa list
Amphiagrion,Amphiagrion,1,0,0,,
Amphinemura,Amphinemura,1,0,0,,
Amphinemura delosa,Amphinemura delosa,1,0,0,,
Amphinemura nigritta,Amphinemura nigritta,1,0,0,,
Amphinemura wui,Amphinemura wui,1,0,0,,
Amphipoda,Amphipoda,1,0,0,,
Anax junius,Anax junius,1,0,0,,
Anchytarsus bicolor,Anchytarsus bicolor,1,0,0,,
Ancylidae,Ancylidae,1,0,0,,
Ancyronyx variegatus,Ancyronyx variegatus,1,0,0,,
Anisoptera,Anisoptera,1,0,0,,
Annelida,Annelida,1,0,0,,
Anopheles,Anopheles,1,0,0,,
Anthopotamus,Anthopotamus,1,0,0,,
Antocha,Antocha,1,0,0,,
Apatania,Apatania,1,0,0,,
Apedilum ,Apedilum,1,0,0,,
Apsectrotanypus ,Apsectrotanypus,1,0,0,,
Arcteonais lomondi,Arcteonais lomondi,1,0,0,,
Arctopsyche ladogensis ,Arctopsyche ladogensis,1,0,0,,
Argia,Argia,1,0,0,,
Argia apicalis,Argia apicalis,1,0,0,,
Arigomphus,Arigomphus,1,0,0,,
Arigomphus furcifer,Arigomphus furcifer,1,0,0,,
Arrenurus,Arrenurus,1,0,0,,
Arthroplea bipunctata,Arthroplea bipunctata,1,0,0,,
Asellidae,Asellidae,1,0,0,,
Astacidae,Astacidae,1,0,0,,
Athericidae,Athericidae,1,0,0,,
Atherix,Atherix,1,0,0,,
Atherix lantha,Atherix lantha,1,0,0,,
Atherix variegata,Atherix variegata,1,0,0,,
Atractides,Atractides,1,0,0,,
Atrichopogon,Atrichopogon,1,0,0,,
Attaneuria ruralis,Attaneuria ruralis,1,0,0,,
Attenella attenuata,Attenella attenuata,1,0,0,,
Aturidae,Aturidae,1,0,0,,
Aturus ,Aturus,1,0,0,,
Aulodrilus,Aulodrilus,1,0,0,,
Aulodrilus japonicus,Aulodrilus japonicus,1,0,0,,
Aulodrilus limnobius,Aulodrilus limnobius,1,0,0,,
Aulodrilus pigueti,Aulodrilus pigueti,1,0,0,,
Aulodrilus pluriseta,Aulodrilus pluriseta,1,0,0,,
Baetidae,Baetidae,1,0,0,,
Baetis,Baetis,1,0,0,,
Baetis bicaudatus,Baetis bicaudatus,1,0,0,0,
Baetis brunneicolor,Baetis brunneicolor,1,0,0,,
Baetis flavistriga,Baetis flavistriga,1,0,0,,
Baetis flavistriga complex,Baetis,1,0,0,1,
Baetis fuscatus group,Baetis,1,0,0,1,
Baetis intercalaris,Baetis intercalaris,1,0,0,,
Baetis intercalaris complex,Baetis,1,0,0,1,
Baetis pluto,Baetis pluto,1,0,0,,
Baetis tricaudatus,Baetis tricaudatus,1,0,0,,
Baetis tricaudatus complex,Baetis,1,0,0,1,
Baetisca,Baetisca,1,0,0,,
Baetisca laurentina,Baetisca laurentina,1,0,0,,
Baetisca obesa,Baetisca obesa,1,0,0,,
Baetisca rubescens ,Baetisca rubescens,1,0,0,,
Basiaeschna,Basiaeschna,1,0,0,,
Basiaeschna janata,Basiaeschna janata,1,0,0,,
Belostoma,Belostoma,1,0,0,,
Belostoma flumineum,Belostoma flumineum,1,0,0,,
Berosus,Berosus,1,0,0,,
Bezzia group,Bezzia,1,0,0,1,
Bezzia/Palpomyia,Bezzia/Palpomyia,1,0,0,,
Bivalvia,Bivalvia,1,0,0,,
Blepharicera,Blepharicera,1,0,0,,
Blephariceridae,Blephariceridae,1,0,0,,
Boyeria,Boyeria,1,0,0,,
Boyeria grafiana,Boyeria grafiana,1,0,0,,
Boyeria vinosa,Boyeria vinosa,1,0,0,,
Brachycentridae,Brachycentridae,1,0,0,,
Brachycentrus,Brachycentrus,1,0,0,,
Brachycentrus americanus,Brachycentrus americanus,1,0,0,,
Brachycentrus appalachia,Brachycentrus appalachia,1,0,0,,
Brachycentrus lateralis,Brachycentrus lateralis,1,0,0,,
Brachycentrus nigrosoma,Brachycentrus nigrosoma,1,0,0,,
Brachycentrus numerosus,Brachycentrus numerosus,1,0,0,,
Brachycentrus solomoni,Brachycentrus solomoni,1,0,0,,
Brachycera,Brachycera,1,0,0,,
Brachyptera,Brachyptera,1,1,0,1,Brachypterinae- Updated on master taxa list
Branchiobdellida,Branchiobdellida,1,0,0,,
Branchiobdellidae,Branchiobdellidae,1,0,0,,
Branchiura sowerbyi,Branchiura sowerbyi,1,0,0,,
Brillia,Brillia,1,0,0,,
Brillia flavifrons,Brillia flavifrons,1,0,0,,
Brillia parva,Brillia parva,1,0,0,,
Brundiniella,Brundiniella,1,0,0,,
Caecidotea,Caecidotea,1,0,0,,
Caecidotea communis,Caecidotea communis,1,1,0,1,Conasellus communis- Updated on master taxa list
Caecidotea racovitzai,Caecidotea racovitzai,1,0,0,,
Caenidae,Caenidae,1,0,0,,
Caenis,Caenis,1,0,0,,
Caenis anceps,Caenis anceps,1,0,0,,
