"AWQ..Station","CTDEEP.LabID","DATE_COL","RBV_most_wanted_count","WaterbodyName","Description","ylat","xlong","munName","subBasin","adbSegID","stationsCommentTxt","lastUpdateDate"
14396,"RBV-2024-030","11/10/2024",6,"Pine Brook","at old bridge Pine Brook Road",41.5079,-72.4952,"HADDAM",4709,"CT4709-00_01","Initial Site Number=208 or alias of =//site comments:station is at end of dirt road","10/5/2021"
14445,"RBV-2024-041","10/21/2024",4,"Saugatuck River","at DS end of Fly Fishing Only Area (1 Ford Rd)",41.1693,-73.367,"WESTPORT",7200,"CT7200-00_01","Initial Site Number=SG1 or alias of =1581.01, R5, 48-001//site comments:Rotating chem only, RBV, at a pull off with signage for TMA, at base of Island Staples HS, just after Ford Road turns south and becomes North Clinton Avenue","10/5/2021"
15045,"RBV-2024-024","9/21/2024",3,"Judd Brook","At mouth, upstream Airline Trail crossing (Hebron/Colchester town line)",41.6005,-72.373,"HEBRON",4702,"CT4702-00_01","Initial Site Number=15010 or alias of =//site comments:site sampled with ED Fisheries as a 1 pass all species for their information, Cabin Brook prob mon site done prior in the day; Old description: upstream old road crossing""""","11/17/2021"
15205,"RBV-2024-059","10/23/2024",3,"Tankerhoosen River","DS Bolton Road",41.8294,-72.4482,"VERNON",4503,"CT4503-00_02","Initial Site Number=32-001 or alias of =5235//site comments:Hockanum River Watershed Association, fisheries sample number 5235 Friends of Hockanum River Linear Park RBV site 2011, 2012, 2013","10/5/2021"
15239,"RBV-2024-038","11/20/2024",3,"East Branch Byram River","upstream John Street (Audubon property)",41.0995,-73.6832,"GREENWICH",7410,"CT7410-00_02","Initial Site Number=247 or alias of =//site comments:site was sampled above the probabilistic segment 59-01 to have adequate riffle habitat for RBP III assessment","10/5/2021"
15249,"RBV-2024-050","10/18/2024",4,"Mashamoquet Brook","50 meters DS of small dam in state park",41.8592,-71.9828,"POMFRET",3710,"CT3710-00_02","Initial Site Number=691.02 or alias of =//site comments:Killingly HS","10/5/2021"
15249,"RBV-2024-062","9/25/2024",6,"Mashamoquet Brook","50 meters DS of small dam in state park",41.8592,-71.9828,"POMFRET",3710,"CT3710-00_02","Initial Site Number=691.02 or alias of =//site comments:Killingly HS","10/5/2021"
15280,"RBV-2024-057","10/26/2024",5,"Pootatuck River","adjacent Tom's Brook Confluence (DS STP outfall)",41.4149,-73.2827,"NEWTOWN",6020,"CT6020-00_01","Initial Site Number= or alias of =//site comments: New RBV site in fall 2005 CVTU, events 2010-2012","10/5/2021"
15312,"RBV-2024-013","10/18/2024",4,"Beaver Brook","Downstream bridge at 55-123 Beaver Brook Road",41.409952,-72.329059,"LYME",4803,"CT4803-00_01","Initial Site Number=26-005 or alias of =//site comments:site established by Jane Brawerman and Eightmile River wild and scenic study, Willauer property call 860-434-8315 before fish shocking.","10/5/2021"
15313,"RBV-2024-010","10/11/2024",3,"Harris Brook","at Mouth (within Walden Preserve)",41.4733,-72.2851,"SALEM",4801,"CT4801-00_01","Initial Site Number=49-001 or alias of =26-006//site comments:site established by Jane Brawerman and Eightmile River wild and scenic study","10/5/2021"
15314,"RBV-2024-001","4/12/2024",4,"Eightmile River, Unnamed tributary to (""PV Brook"")","at trail crossing off MacIntosh Road (Pleasant Valley Preserve)",41.4155,-72.3396,"LYME",4800,"CT4800-15_01","Initial Site Number=26-007 or alias of =//site comments:site established by Jane Brawerman and Eightmile River wild and scenic study","10/5/2021"
15370,"RBV-2024-042","10/23/2024",2,"Saugatuck River","at Keene Park Parking Lot",41.1927,-73.3617,"WESTON",7200,"CT7200-00_02","Initial Site Number=R7 or alias of =//site comments:Weston/Westport Health District, sampled at a makeshift sand bank located at the rear of Keene Park (just off River Road) in Weston","10/5/2021"
15370,"RBV-2024-043","11/22/2024",4,"Saugatuck River","at Keene Park Parking Lot",41.1927,-73.3617,"WESTON",7200,"CT7200-00_02","Initial Site Number=R7 or alias of =//site comments:Weston/Westport Health District, sampled at a makeshift sand bank located at the rear of Keene Park (just off River Road) in Weston","10/5/2021"
15375,"RBV-2024-040","10/22/2024",3,"Aspetuck River","Upstream Confluence with Saugatuck River at Lyons Plain Rd",41.1769,-73.3579,"WESTPORT",7202,"CT7202-00_01","Initial Site Number=R6 or alias of =AR-1//site comments:Weston/Westport Health District, Site 6 is sampled on the north side of Lyons Plains Road, just north of the Lyons Plains Road and Coleytown Road intersection.  Above confluence with saugatuck river","10/5/2021"
15764,"RBV-2024-060","9/23/2024",2,"Deep Brook","100m below unnamed tributary ""Meeker Brook"" (formerly ""Oil Creek"")",41.4082,-73.2867,"NEWTOWN",6019,"CT6019-00_01","Initial Site Number=50-008 or alias of =//site comments:new RBV site summer 2005 Per CVTU contact 6/30/17: Oil Creek"" and ""Meeker Brook"" are the same location. We have started using the Meeker Brook designation as a replacement in response to the local leaders sensitivity to the unofficial name of Oil Creek""","10/5/2021"
15764,"RBV-2024-061","9/23/2024",3,"Deep Brook","100m below unnamed tributary ""Meeker Brook"" (formerly ""Oil Creek"")",41.4082,-73.2867,"NEWTOWN",6019,"CT6019-00_01","Initial Site Number=50-008 or alias of =//site comments:new RBV site summer 2005 Per CVTU contact 6/30/17: Oil Creek"" and ""Meeker Brook"" are the same location. We have started using the Meeker Brook designation as a replacement in response to the local leaders sensitivity to the unofficial name of Oil Creek""","10/5/2021"
15839,"RBV-2024-055","10/13/2024",4,"Deep Brook, tributary to (""Oil Creek"" or ""Meeker Brook"")","US Old Farm Road",41.407,-73.2882,"NEWTOWN",6019,"CT6019-00-trib_01","Initial Site Number=oil creek or alias of =// site comments:site sampled by newtown HS student and Joe Hovius (CVTU) 6/30/17 per CVTU: Oil Creek"" and ""Meeker Brook"" are the same location. We have started using the Meeker Brook designation as a replacement in response to the local leaders sensitivity to the unofficial name of Oil Creek""","12/27/2021"
16121,"RBV-2024-025","9/29/2024",5,"Flat Brook","at Route 16 (at mouth)",41.5544,-72.4523,"EAST HAMPTON",4700,"CT4700-03_01","Initial Site Number= or alias of =//site comments:At Rte 16","10/5/2021"
