"Stream_Mun","AWQ..Station","DATE_COL","Drunella","Isonychiidae","Epeorus","Peltoperlidae","Perlidae","Pteronarcyidae","MiscSmallStoneflies","Glossosomatidae","Apataniidae","Rhyacophilidae","Brachycentridae","Lepidostomatidae","Hydropsychidae","Philopotamidae","Heptageniidae","Psephenidae","Corydalidae","Anisoptera","Zygoptera","Amphipoda","Isopoda","Hirudinea","Chironimidae","Simuliidae","Gastropoda","Oligochaeta","Tipulidae","Elmidae","Baetidae","Athericidae","Planariidae","Bivalvia"
"Pine Brook  (HADDAM)",14396,"11/10/2024",NA,NA,NA,NA,"X",NA,"X","X",NA,NA,"X","X","X","X","X","X","X","X",NA,NA,NA,NA,NA,NA,NA,NA,"X","X",NA,NA,NA,NA
"Saugatuck River (WESTPORT)",14445,"10/21/2024",NA,"X",NA,NA,NA,NA,NA,"X",NA,"X",NA,"X","X","X","X","X",NA,NA,NA,NA,NA,NA,NA,"X",NA,"X",NA,"X","X",NA,NA,NA
"Judd Brook (HEBRON)",15045,"9/21/2024",NA,"X",NA,NA,"X",NA,NA,"X",NA,NA,NA,NA,"X","X",NA,NA,"X","X",NA,NA,NA,NA,NA,NA,NA,"X",NA,"X","X","X",NA,NA
"Tankherhoosen River (VERNON)",15205,"10/23/2024",NA,NA,NA,"X","X",NA,NA,NA,NA,"X",NA,NA,"X","X","X","X","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,"X","X","X","X",NA,NA
"East Branch of the Byram River (GREENWICH)",15239,"11/20/2024",NA,"X",NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,"X","X","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA
"Mashamoquet Brook (POMFRET)",15249,"10/18/2024",NA,"X","X",NA,"X",NA,NA,"X",NA,NA,NA,NA,"X","X","X","X","X",NA,NA,NA,NA,NA,NA,NA,NA,"X",NA,"X","X",NA,NA,NA
"Mashamoquet Brook (POMFRET)",15249,"9/25/2024",NA,"X",NA,"X","X",NA,"X","X",NA,"X",NA,NA,"X","X","X","X","X",NA,NA,NA,NA,NA,NA,"X",NA,"X",NA,"X","X","X",NA,NA
"Pootatuck River (NEWTOWN)",15280,"10/26/2024",NA,"X",NA,NA,"X",NA,"X","X",NA,"X",NA,NA,"X","X","X","X","X",NA,NA,"X",NA,NA,NA,NA,NA,"X","X",NA,"X",NA,NA,NA
"Beaver Brook (LYME)",15312,"10/18/2024",NA,"X",NA,"X","X",NA,"X",NA,NA,NA,NA,NA,"X","X","X",NA,"X","X",NA,NA,NA,NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA
"Harris Brook  (SALEM)",15313,"10/11/2024",NA,"X",NA,NA,"X",NA,NA,NA,NA,NA,"X",NA,"X","X","X","X","X","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA,NA,NA
"Un-named Tributary of Main Stem of Eightmile at Pleasant Valley Preserve (LYME)",15314,"4/12/2024",NA,NA,"X","X","X",NA,NA,NA,NA,"X",NA,NA,"X",NA,"X",NA,"X","X",NA,NA,NA,NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA
"Saugatuck River (WESTON)",15370,"10/23/2024",NA,"X",NA,NA,NA,NA,NA,NA,NA,"X",NA,NA,"X","X","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saugatuck River (WESTON)",15370,"11/22/2024",NA,"X",NA,NA,NA,NA,"X",NA,NA,"X",NA,NA,"X","X","X",NA,NA,NA,NA,"X","X","X",NA,NA,NA,NA,"X",NA,NA,NA,NA,NA
"Aspetuck River (WESTPORT)",15375,"10/22/2024",NA,"X",NA,NA,NA,NA,NA,"X",NA,NA,NA,"X","X","X","X","X",NA,NA,NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,"X",NA,NA,NA
"Deep Brook (NEWTOWN)",15764,"9/23/2024",NA,"X",NA,NA,"X",NA,NA,NA,NA,"X",NA,NA,"X","X","X","X",NA,NA,NA,NA,NA,NA,NA,"X",NA,NA,NA,"X","X",NA,NA,NA
"Deep Brook (NEWTOWN)",15764,"9/23/2024",NA,"X",NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,"X","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,"X",NA,NA,NA
"Deep Brook (NEWTOWN)",15839,"10/13/2024",NA,"X",NA,NA,"X","X","X",NA,NA,NA,NA,NA,"X","X","X","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,"X","X",NA,NA,"X",NA,NA
"Flat Brook  (EAST HAMPTON)",16121,"9/29/2024",NA,"X","X",NA,"X",NA,"X","X",NA,NA,NA,NA,"X","X","X","X","X","X",NA,NA,NA,NA,NA,NA,NA,NA,"X",NA,"X",NA,NA,NA
"Muddy Brook  (EAST HADDAM)",16123,"4/12/2024",NA,NA,"X","X","X",NA,"X",NA,NA,NA,NA,NA,"X",NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,"X","X",NA,NA,NA,NA,NA
"Muddy Brook (EAST HADDAM)",16123,"9/7/2024",NA,NA,"X",NA,"X",NA,NA,"X",NA,NA,"X",NA,"X","X","X","X",NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,"X",NA,"X",NA,NA,NA
"Byram River (GREENWICH)",16146,"10/24/2024",NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X","X","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dickinson Creek  (COLCHESTER)",16324,"9/29/2024",NA,"X",NA,NA,"X",NA,"X","X",NA,NA,"X",NA,"X","X","X","X","X","X",NA,NA,NA,NA,NA,NA,NA,"X","X","X","X",NA,NA,NA
"Pootatuck River (NEWTOWN)",16420,"10/13/2024",NA,"X",NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,"X","X",NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,"X",NA,NA,NA
"Sprain Brook (WOODBURY)",16431,"9/21/2024",NA,"X",NA,NA,"X",NA,NA,"X",NA,NA,NA,NA,"X","X","X",NA,"X",NA,NA,NA,NA,NA,NA,"X",NA,"X",NA,NA,"X",NA,NA,NA
"Pine Brook  (COLCHESTER)",16438,"10/13/2024",NA,"X",NA,NA,"X",NA,NA,"X",NA,NA,"X","X","X","X","X",NA,"X","X",NA,NA,NA,NA,NA,"X",NA,NA,"X",NA,"X",NA,NA,NA
"Good Hill Brook (WOODBURY)",16696,"9/14/2024",NA,NA,NA,"X","X",NA,"X",NA,NA,NA,NA,NA,"X","X","X",NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,"X",NA,NA,"X",NA,NA,NA
"Goodwin Brook (CHAPLIN)",16697,"10/19/2024",NA,NA,"X","X","X",NA,"X","X",NA,"X","X",NA,"X","X","X","X","X","X",NA,NA,NA,NA,NA,NA,NA,"X","X","X","X",NA,NA,NA
"Fourmile River (EAST LYME)",17322,"10/29/2024",NA,NA,NA,NA,"X",NA,"X",NA,NA,NA,"X",NA,"X","X",NA,NA,"X","X",NA,"X",NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA
"Raymond Brook (upstream)  (HEBRON)",17975,"10/30/2024",NA,"X",NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,"X","X",NA,NA,"X","X",NA,NA,NA,NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA
"Raymond Brook (Lower Assessment)  (HEBRON)",17978,"10/30/2024",NA,"X",NA,NA,"X",NA,"X",NA,"X",NA,NA,NA,"X","X","X","X","X","X","X",NA,NA,NA,NA,NA,NA,"X","X",NA,"X",NA,NA,NA
"Big Brook  (SALEM)",17992,"10/5/2024",NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,"X","X","X","X","X","X","X",NA,NA,NA,NA,"X",NA,NA,"X","X",NA,NA,NA,NA
"Norwalk River (RIDGEFIELD)",18141,"11/4/2024",NA,"X",NA,NA,"X",NA,"X",NA,NA,NA,NA,NA,"X","X","X","X",NA,NA,NA,"X","X","X",NA,NA,NA,"X","X","X",NA,NA,NA,NA
"Fawn Brook  (MARLBOROUGH)",18409,"10/16/2024",NA,"X","X",NA,"X",NA,"X","X",NA,NA,NA,NA,"X","X",NA,"X","X",NA,NA,NA,NA,NA,NA,NA,NA,"X","X","X","X",NA,NA,NA
"Latimer Brook (EAST LYME)",18413,"10/28/2024",NA,NA,NA,NA,"X",NA,"X",NA,NA,NA,NA,NA,"X","X","X",NA,"X","X","X","X",NA,NA,NA,NA,NA,NA,"X",NA,NA,"X",NA,NA
"Latimer Brook (EAST LYME)",18495,"10/28/2024",NA,NA,NA,NA,"X",NA,NA,"X",NA,NA,"X",NA,"X","X","X","X","X","X",NA,"X",NA,NA,NA,NA,NA,"X","X",NA,"X","X",NA,NA
"Eightmile River (West Branch) (EAST HADDAM)",18518,"9/7/2024",NA,"X","X",NA,"X",NA,NA,NA,NA,NA,"X",NA,"X",NA,"X","X","X","X",NA,NA,NA,NA,NA,NA,NA,NA,"X","X","X","X",NA,NA
"Muddy Brook  (EAST HADDAM)",18694,"10/18/2024",NA,NA,NA,"X","X",NA,"X","X",NA,NA,NA,NA,"X","X","X",NA,"X","X",NA,NA,NA,NA,NA,NA,NA,"X","X","X",NA,NA,NA,NA
"Railroad Brook (BOLTON)",18816,"10/27/2024",NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,"X","X",NA,"X","X","X",NA,NA,NA,NA,NA,NA,NA,"X",NA,"X",NA,NA,NA,NA
"Hedge Brook  (EAST HADDAM)",18818,"4/26/2024",NA,NA,"X",NA,"X",NA,"X",NA,NA,"X",NA,"X","X","X","X","X","X",NA,NA,NA,NA,NA,NA,"X",NA,"X","X","X",NA,NA,NA,NA
"Safstrom Brook (EAST HAMPTON)",18838,"10/27/2024",NA,"X",NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,"X","X","X",NA,"X","X",NA,NA,NA,NA,NA,NA,NA,"X","X",NA,"X",NA,NA,NA
"Harris Brook  (SALEM)",19214,"10/11/2024",NA,"X",NA,"X","X",NA,"X",NA,NA,NA,NA,NA,"X","X","X",NA,"X","X","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Harris Brook  (SALEM)",19214,"4/26/2024",NA,"X","X",NA,"X",NA,NA,NA,NA,"X",NA,NA,"X","X","X",NA,"X","X",NA,NA,NA,NA,NA,NA,NA,"X","X",NA,"X",NA,NA,NA
"Ransom (East) Brook  (SALEM)",19215,"10/11/2024",NA,NA,NA,"X","X",NA,NA,NA,NA,NA,"X",NA,"X",NA,"X","X","X","X","X",NA,NA,NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,NA
"Ransom Brook  (SALEM)",19215,"4/12/2024",NA,NA,"X","X","X",NA,"X",NA,NA,"X",NA,NA,"X","X","X",NA,"X","X",NA,NA,NA,NA,NA,"X",NA,NA,"X",NA,NA,NA,NA,NA
"Blackledge River (MARLBOROUGH)",19455,"10/16/2024",NA,"X","X",NA,"X",NA,"X",NA,NA,NA,NA,NA,"X","X","X","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA,NA,NA
"Roaring Brook  (LYME)",19458,"10/11/2024",NA,"X",NA,"X","X",NA,NA,NA,NA,"X","X",NA,"X","X","X","X","X","X",NA,NA,NA,NA,NA,NA,NA,"X","X","X",NA,"X",NA,NA
"Jeremy River (COLCHESTER)",20051,"10/13/2024",NA,"X",NA,NA,"X",NA,"X","X",NA,NA,NA,NA,"X","X","X","X","X","X",NA,NA,NA,NA,NA,NA,NA,"X",NA,"X","X","X",NA,NA
"Burnham Brook  (EAST HADDAM)",20492,"10/18/2024",NA,NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,"X","X","X",NA,"X","X","X",NA,NA,NA,NA,NA,NA,"X","X",NA,NA,NA,NA,NA
"Burnham Brook  (EAST HADDAM)",20492,"4/26/2024",NA,NA,NA,"X","X",NA,"X",NA,NA,NA,NA,NA,"X","X","X","X","X",NA,NA,NA,NA,NA,NA,NA,NA,"X","X",NA,NA,NA,NA,NA
"Cabin Brook (Colchester)",20673,"10/19/2024",NA,NA,NA,"X","X",NA,NA,NA,NA,"X",NA,NA,"X","X","X",NA,"X","X","X",NA,NA,NA,NA,NA,NA,"X","X","X",NA,NA,NA,NA
"Flat Brook (MARLBOROUGH)",20796,"11/2/2024",NA,"X","X",NA,"X","X","X","X",NA,"X",NA,NA,"X","X","X","X","X","X",NA,"X",NA,NA,NA,NA,NA,"X","X","X",NA,NA,NA,NA
"Frasier Brook  (SALEM)",20884,"10/18/2024",NA,NA,NA,"X","X",NA,NA,NA,NA,"X",NA,NA,"X","X","X",NA,"X","X",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fraser Brook  (SALEM)",20884,"4/12/2024",NA,NA,"X","X","X",NA,"X",NA,NA,"X",NA,NA,"X",NA,"X","X","X",NA,NA,NA,NA,NA,NA,NA,NA,"X","X",NA,"X",NA,NA,NA
"Harris Brook  (Salem)",20975,"4/26/2024","X","X",NA,NA,"X",NA,NA,NA,NA,"X",NA,NA,"X","X",NA,NA,"X",NA,NA,NA,NA,NA,NA,"X",NA,"X",NA,NA,"X",NA,NA,NA
"No Name Tributary to (West Branch) Eightmile River (East Haddam)",20976,"9/7/2024",NA,NA,NA,"X","X",NA,"X","X",NA,"X","X",NA,"X","X","X",NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,"X","X",NA,"X",NA,NA,NA
"Stonehouse Brook (Chaplin)",20977,"11/1/2024",NA,"X","X","X",NA,NA,"X",NA,NA,"X",NA,"X","X","X","X",NA,"X",NA,NA,NA,NA,NA,NA,"X",NA,"X","X","X",NA,NA,NA,NA
"Mill Brook (Woodstock)",20978,"11/16/2024",NA,NA,"X",NA,"X",NA,"X","X",NA,NA,NA,NA,"X","X","X","X",NA,"X",NA,NA,NA,NA,NA,NA,NA,"X","X","X",NA,NA,NA,NA
"North Branch Pootatuck River Headwaters (Newtown)",20979,"12/24/2024","X","X","X",NA,"X","X","X","X",NA,"X",NA,NA,"X","X","X",NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,"X","X","X",NA,NA,NA,NA
"South Brook (Woodbury)",20980,"9/14/2024",NA,NA,NA,NA,"X",NA,"X",NA,NA,NA,NA,NA,"X","X",NA,"X","X",NA,NA,NA,NA,NA,NA,"X",NA,NA,NA,NA,"X",NA,NA,NA
"Lewis Atwood Brook (Woodbury)",20981,"9/21/2024",NA,NA,NA,NA,NA,NA,NA,NA,NA,"X",NA,NA,"X","X","X","X","X",NA,NA,NA,NA,NA,NA,"X",NA,"X","X","X","X","X",NA,NA
"East Spring Brook (Bethlehem)",20982,"9/22/2024",NA,"X",NA,NA,"X",NA,NA,NA,NA,"X",NA,NA,"X","X","X","X","X",NA,NA,NA,NA,NA,NA,"X",NA,"X",NA,NA,"X","X",NA,NA
"Blackmore Brook (Thompson)",20983,"11/6/2024",NA,NA,NA,"X","X",NA,"X",NA,NA,NA,"X","X","X","X","X",NA,"X","X",NA,NA,NA,NA,NA,NA,NA,"X","X","X",NA,NA,NA,NA
