"Waterbody.Name.","AWQ..Station","code","DATE_COL","RBV_most_wanted_count"
"Railroad Brook",18816,"BCC","10/27/2024",1
"Deep Brook",15764,"CTDEEP","9/23/2024",2
"Deep Brook",15764,"CTDEEP","9/23/2024",3
"Mashamoquet Brook",15249,"CTDEEP","9/25/2024",6
"Latimer Brook",18413,"ELCC","10/28/2024",2
"Latimer Brook",18495,"ELCC","10/28/2024",3
"Fourmile River",17322,"ELCC","10/29/2024",3
"Eightmile River (West Branch)",18518,"8MILE","9/7/2024",4
"Big Brook ",17992,"8MILE","10/5/2024",1
"Muddy Brook",16123,"8MILE","9/7/2024",4
"No Name Tributary to (West Branch) Eightmile River",20976,"8MILE","9/7/2024",7
"Byram River",16146,"GIWWA","10/24/2024",1
"East Branch of the Byram River",15239,"GIWWA","11/20/2024",3
"Aspetuck River",15375,"HW","10/22/2024",3
"Saugatuck River",14445,"HW","10/21/2024",4
"Saugatuck River",15370,"HW","10/23/2024",2
"Saugatuck River",15370,"TMA","11/22/2024",4
"Good Hill Brook",16696,"PRWC","9/14/2024",3
"South Brook",20980,"PRWC","9/14/2024",3
"East Spring Brook",20982,"PRWC","9/22/2024",3
"Sprain Brook",16431,"PRWC","9/21/2024",3
"Lewis Atwood Brook",20981,"PRWC","9/21/2024",1
"Jeremy River",20051,"SRWP","10/13/2024",4
"Fawn Brook ",18409,"SRWP","10/16/2024",6
"Cabin Brook",20673,"SRWP","10/19/2024",3
"Judd Brook",15045,"SRWP","9/21/2024",3
"Flat Brook ",16121,"SRWP","9/29/2024",5
"Raymond Brook (upstream) ",17975,"SRWP","10/30/2024",2
"Safstrom Brook",18838,"SRWP","10/27/2024",2
"Raymond Brook (Lower Assessment) ",17978,"SRWP","10/30/2024",5
"Pine Brook ",16438,"SRWP","10/13/2024",5
"Pine Brook ",14396,"SRWP","11/10/2024",6
"Blackledge River",19455,"SRWP","10/16/2024",5
"Dickinson Creek ",16324,"SRWP","9/29/2024",5
"Flat Brook",20796,"SRWP","11/2/2024",7
"Mill Brook",20978,"TLGV","11/16/2024",6
"Stonehouse Brook",20977,"TLGV","11/1/2024",6
"Goodwin Brook",16697,"TLGV","10/19/2024",9
"Blackmore Brook",20983,"TLGV","11/6/2024",6
"Mashamoquet Brook",15249,"TLGV","10/18/2024",4
"Un-named Tributary of Main Stem of Eightmile at Pleasant Valley Preserve",15314,"TRCC","4/12/2024",4
"Ransom Brook ",19215,"TRCC","4/12/2024",6
"Fraser Brook ",20884,"TRCC","4/12/2024",5
"Muddy Brook ",16123,"TRCC","4/12/2024",4
"Harris Brook ",20975,"TRCC","4/26/2024",4
"Hedge Brook ",18818,"TRCC","4/26/2024",6
"Harris Brook ",19214,"TRCC","4/26/2024",4
"Burnham Brook ",20492,"TRCC","4/26/2024",4
"Ransom (East) Brook ",19215,"TRCC","10/11/2024",3
"Harris Brook ",15313,"TRCC","10/11/2024",3
"Harris Brook ",19214,"TRCC","10/11/2024",5
"Roaring Brook ",19458,"TRCC","10/11/2024",5
"Beaver Brook",15312,"TRCC","10/18/2024",4
"Frasier Brook ",20884,"TRCC","10/18/2024",3
"Burnham Brook ",20492,"TRCC","10/18/2024",1
"Muddy Brook ",18694,"TRCC","10/18/2024",4
"Pootatuck River",16420,"CVTU","10/13/2024",2
"North Branch Pootatuck River Headwaters",20979,"CVTU","12/24/2024",11
"Pootatuck River",15280,"CVTU","10/26/2024",5
"Norwalk River",18141,"CVTU","11/4/2024",3
"Deep Brook",15839,"CVTU","10/13/2024",4
"Tankherhoosen River",15205,"VCC","10/23/2024",3
