"Monitoring Location ID","Activity ID","Activity Start Date","Activity Metric Score","Activity Metric Value","Activity Metric Comment"
15314,"2024001 _TaxaMostW","4/12/2024",4,4,"DEEP Field ID:  RBV-2024-001  / Taxonomy Lab ID:  8436.6-1"
19215,"2024002 _TaxaMostW","4/12/2024",6,6,"DEEP Field ID:  RBV-2024-002  / Taxonomy Lab ID:  8436.6-2"
20884,"2024003 _TaxaMostW","4/12/2024",5,5,"DEEP Field ID:  RBV-2024-003  / Taxonomy Lab ID:  8436.6-3"
16123,"2024004 _TaxaMostW","4/12/2024",4,4,"DEEP Field ID:  RBV-2024-004  / Taxonomy Lab ID:  8436.6-4"
20975,"2024005 _TaxaMostW","4/26/2024",4,4,"DEEP Field ID:  RBV-2024-005  / Taxonomy Lab ID:  8436.6-5"
18818,"2024006 _TaxaMostW","4/26/2024",6,6,"DEEP Field ID:  RBV-2024-006  / Taxonomy Lab ID:  8436.6-6"
19214,"2024007 _TaxaMostW","4/26/2024",4,4,"DEEP Field ID:  RBV-2024-007  / Taxonomy Lab ID:  8436.6-7"
20492,"2024008 _TaxaMostW","4/26/2024",4,4,"DEEP Field ID:  RBV-2024-008  / Taxonomy Lab ID:  8436.6-8"
19215,"2024009 _TaxaMostW","10/11/2024",3,3,"DEEP Field ID:  RBV-2024-009  / Taxonomy Lab ID:  8436.6-9"
15313,"2024010 _TaxaMostW","10/11/2024",3,3,"DEEP Field ID:  RBV-2024-010  / Taxonomy Lab ID:  8436.6-10"
19214,"2024011 _TaxaMostW","10/11/2024",5,5,"DEEP Field ID:  RBV-2024-011  / Taxonomy Lab ID:  8436.6-11"
19458,"2024012 _TaxaMostW","10/11/2024",5,5,"DEEP Field ID:  RBV-2024-012  / Taxonomy Lab ID:  8436.6-12"
15312,"2024013 _TaxaMostW","10/18/2024",4,4,"DEEP Field ID:  RBV-2024-013  / Taxonomy Lab ID:  8436.6-13"
20884,"2024014 _TaxaMostW","10/18/2024",3,3,"DEEP Field ID:  RBV-2024-014  / Taxonomy Lab ID:  8436.6-14"
20492,"2024015 _TaxaMostW","10/18/2024",1,1,"DEEP Field ID:  RBV-2024-015  / Taxonomy Lab ID:  8436.6-15"
18694,"2024016 _TaxaMostW","10/18/2024",4,4,"DEEP Field ID:  RBV-2024-016  / Taxonomy Lab ID:  8436.6-16"
18518,"2024017 _TaxaMostW","9/7/2024",4,4,"DEEP Field ID:  RBV-2024-017  / Taxonomy Lab ID:  8436.6-17"
17992,"2024018 _TaxaMostW","10/5/2024",1,1,"DEEP Field ID:  RBV-2024-018  / Taxonomy Lab ID:  8436.6-18"
16123,"2024019 _TaxaMostW","9/7/2024",4,4,"DEEP Field ID:  RBV-2024-019  / Taxonomy Lab ID:  8436.6-19"
20976,"2024020 _TaxaMostW","9/7/2024",7,7,"DEEP Field ID:  RBV-2024-020  / Taxonomy Lab ID:  8436.6-20"
20051,"2024021 _TaxaMostW","10/13/2024",4,4,"DEEP Field ID:  RBV-2024-021  / Taxonomy Lab ID:  8436.6-21"
18409,"2024022 _TaxaMostW","10/16/2024",6,6,"DEEP Field ID:  RBV-2024-022  / Taxonomy Lab ID:  8436.6-22"
20673,"2024023 _TaxaMostW","10/19/2024",3,3,"DEEP Field ID:  RBV-2024-023  / Taxonomy Lab ID:  8436.6-23"
15045,"2024024 _TaxaMostW","9/21/2024",3,3,"DEEP Field ID:  RBV-2024-024  / Taxonomy Lab ID:  8436.6-24"
16121,"2024025 _TaxaMostW","9/29/2024",5,5,"DEEP Field ID:  RBV-2024-025  / Taxonomy Lab ID:  8436.6-25"
17975,"2024026 _TaxaMostW","10/30/2024",2,2,"DEEP Field ID:  RBV-2024-026  / Taxonomy Lab ID:  8436.6-26"
18838,"2024027 _TaxaMostW","10/27/2024",2,2,"DEEP Field ID:  RBV-2024-027  / Taxonomy Lab ID:  8436.6-27"
17978,"2024028 _TaxaMostW","10/30/2024",5,5,"DEEP Field ID:  RBV-2024-028  / Taxonomy Lab ID:  8436.6-28"
16438,"2024029 _TaxaMostW","10/13/2024",5,5,"DEEP Field ID:  RBV-2024-029  / Taxonomy Lab ID:  8436.6-29"
14396,"2024030 _TaxaMostW","11/10/2024",6,6,"DEEP Field ID:  RBV-2024-030  / Taxonomy Lab ID:  8436.6-30"
19455,"2024031 _TaxaMostW","10/16/2024",5,5,"DEEP Field ID:  RBV-2024-031  / Taxonomy Lab ID:  8436.6-31"
16324,"2024032 _TaxaMostW","9/29/2024",5,5,"DEEP Field ID:  RBV-2024-032  / Taxonomy Lab ID:  8436.6-32"
20796,"2024033 _TaxaMostW","11/2/2024",7,7,"DEEP Field ID:  RBV-2024-033  / Taxonomy Lab ID:  8436.6-33"
18816,"2024034 _TaxaMostW","10/27/2024",1,1,"DEEP Field ID:  RBV-2024-034  / Taxonomy Lab ID:  8436.6-34"
17322,"2024035 _TaxaMostW","10/29/2024",3,3,"DEEP Field ID:  RBV-2024-035  / Taxonomy Lab ID:  8436.6-35"
18413,"2024036 _TaxaMostW","10/28/2024",2,2,"DEEP Field ID:  RBV-2024-036  / Taxonomy Lab ID:  8436.6-36"
18495,"2024037 _TaxaMostW","10/28/2024",3,3,"DEEP Field ID:  RBV-2024-037  / Taxonomy Lab ID:  8436.6-37"
15239,"2024038 _TaxaMostW","11/20/2024",3,3,"DEEP Field ID:  RBV-2024-038  / Taxonomy Lab ID:  8436.6-38"
16146,"2024039 _TaxaMostW","10/24/2024",1,1,"DEEP Field ID:  RBV-2024-039  / Taxonomy Lab ID:  8436.6-39"
15375,"2024040 _TaxaMostW","10/22/2024",3,3,"DEEP Field ID:  RBV-2024-040  / Taxonomy Lab ID:  8436.6-40"
14445,"2024041 _TaxaMostW","10/21/2024",4,4,"DEEP Field ID:  RBV-2024-041  / Taxonomy Lab ID:  8436.6-41"
15370,"2024042 _TaxaMostW","10/23/2024",2,2,"DEEP Field ID:  RBV-2024-042  / Taxonomy Lab ID:  8436.6-42"
15370,"2024043 _TaxaMostW","11/22/2024",4,4,"DEEP Field ID:  RBV-2024-043  / Taxonomy Lab ID:  8436.6-43"
20982,"2024044 _TaxaMostW","9/22/2024",3,3,"DEEP Field ID:  RBV-2024-044  / Taxonomy Lab ID:  8436.6-44"
16431,"2024045 _TaxaMostW","9/21/2024",3,3,"DEEP Field ID:  RBV-2024-045  / Taxonomy Lab ID:  8436.6-45"
20981,"2024046 _TaxaMostW","9/21/2024",1,1,"DEEP Field ID:  RBV-2024-046  / Taxonomy Lab ID:  8436.6-46"
16696,"2024047 _TaxaMostW","9/14/2024",3,3,"DEEP Field ID:  RBV-2024-047  / Taxonomy Lab ID:  8436.6-47"
20980,"2024048 _TaxaMostW","9/14/2024",3,3,"DEEP Field ID:  RBV-2024-048  / Taxonomy Lab ID:  8436.6-48"
20977,"2024049 _TaxaMostW","11/1/2024",6,6,"DEEP Field ID:  RBV-2024-049  / Taxonomy Lab ID:  8436.6-49"
15249,"2024050 _TaxaMostW","10/18/2024",4,4,"DEEP Field ID:  RBV-2024-050  / Taxonomy Lab ID:  8436.6-50"
16697,"2024051 _TaxaMostW","10/19/2024",9,9,"DEEP Field ID:  RBV-2024-051  / Taxonomy Lab ID:  8436.6-51"
20983,"2024052 _TaxaMostW","11/6/2024",6,6,"DEEP Field ID:  RBV-2024-052  / Taxonomy Lab ID:  8436.6-52"
20978,"2024053 _TaxaMostW","11/16/2024",6,6,"DEEP Field ID:  RBV-2024-053  / Taxonomy Lab ID:  8436.6-53"
16420,"2024054 _TaxaMostW","10/13/2024",2,2,"DEEP Field ID:  RBV-2024-054  / Taxonomy Lab ID:  8436.6-54"
15839,"2024055 _TaxaMostW","10/13/2024",4,4,"DEEP Field ID:  RBV-2024-055  / Taxonomy Lab ID:  8436.6-55"
20979,"2024056 _TaxaMostW","12/24/2024",11,11,"DEEP Field ID:  RBV-2024-056  / Taxonomy Lab ID:  8436.6-56"
15280,"2024057 _TaxaMostW","10/26/2024",5,5,"DEEP Field ID:  RBV-2024-057  / Taxonomy Lab ID:  8436.6-57"
18141,"2024058 _TaxaMostW","11/4/2024",3,3,"DEEP Field ID:  RBV-2024-058  / Taxonomy Lab ID:  8436.6-58"
15205,"2024059 _TaxaMostW","10/23/2024",3,3,"DEEP Field ID:  RBV-2024-059  / Taxonomy Lab ID:  8436.6-59"
15764,"2024060 _TaxaMostW","9/23/2024",2,2,"DEEP Field ID:  RBV-2024-060  / Taxonomy Lab ID:  8436.6-60"
15764,"2024061 _TaxaMostW","9/23/2024",3,3,"DEEP Field ID:  RBV-2024-061  / Taxonomy Lab ID:  8436.6-61"
15249,"2024062 _TaxaMostW","9/25/2024",6,6,"DEEP Field ID:  RBV-2024-062  / Taxonomy Lab ID:  8436.6-62"
