"AWQ..Station","WaterbodyName","ylat","xlong"
15314,"Eightmile River, Unnamed tributary to (""PV Brook"")",41.4155,-72.3396
19215,"East Branch Eightmile River, Unnamed tributary to (""Ransom Brook"")",41.454943,-72.283556
20884,"Fraser Brook ",41.477781,-72.254441
16123,"Muddy Brook",41.4756,-72.342
20975,"Harris Brook ",41.475313,-72.279199
18818,"Hedge Brook",41.453235,-72.338713
19214,"Harris Brook",41.487386,-72.27044
20492,"Burnham Brook",41.4653,-72.3245
19215,"East Branch Eightmile River, Unnamed tributary to (""Ransom Brook"")",41.454943,-72.283556
15313,"Harris Brook",41.4733,-72.2851
19214,"Harris Brook",41.487386,-72.27044
19458,"Roaring Brook #2",41.423478,-72.399106
15312,"Beaver Brook",41.409952,-72.329059
20884,"Fraser Brook ",41.477781,-72.254441
20492,"Burnham Brook",41.4653,-72.3245
18694,"Muddy Brook",41.475969,-72.342916
18518,"Eightmile River",41.473,-72.339
17992,"Big Brook",41.50446,-72.28783
16123,"Muddy Brook",41.4756,-72.342
20976,"NNT to Eightmile River",41.48322,-72.34044
20051,"Jeremy River",41.58021,-72.40082
18409,"Fawn Brook",41.604581,-72.41875
20673,"Cabin Brook",41.560375,-72.319079
15045,"Judd Brook",41.6005,-72.373
16121,"Flat Brook",41.5544,-72.4523
17975,"Raymond Brook",41.61544,-72.36708
18838,"Safstrom Brook",41.52521,-72.47864
17978,"Raymond Brook",41.6142,-72.3678
16438,"Pine Brook",41.580111,-72.399371
14396,"Pine Brook",41.5079,-72.4952
19455,"Blackledge River",41.60413,-72.41969
16324,"Dickinson Creek",41.5575,-72.442
20796,"Flat Brook",41.67589,-72.463977
18816,"Railroad Brook",41.799193,-72.449356
17322,"Fourmile River",41.339,-72.2592
18413,"Latimer Brook",41.383973,-72.21429
18495,"Latimer Brook",41.367256,-72.20808
15239,"East Branch Byram River",41.0995,-73.6832
16146,"East Branch Byram River",41.0612,-73.6748
15375,"Aspetuck River",41.1769,-73.3579
14445,"Saugatuck River",41.1693,-73.367
15370,"Saugatuck River",41.1927,-73.3617
15370,"Saugatuck River",41.1927,-73.3617
20982,"East Spring Brook",41.612301,-73.17598
16431,"Sprain Brook",41.5696,-73.2259
20981,"NNT to Lewis Atwood Brook",41.5959,-73.16964
16696,"Goodhill Brook (Good Hill Brook)",41.5408,-73.2342
20980,"South Brook",41.52469,-73.19939
20977,"Stonehouse Brook",41.806,-72.14423
15249,"Mashamoquet Brook",41.8592,-71.9828
16697,"Goodwin Brook",41.8225,-72.0978
20983,"Blackmore Brook",41.95051,-71.80957
20978,"Mill Brook",41.936966,-71.983153
16420,"Pootatuck River",41.4376,-73.2702
15839,"Deep Brook, tributary to (""Oil Creek"" or ""Meeker Brook"")",41.407,-73.2882
20979,"North Branch Pootatuck River",41.376356,-73.277479
15280,"Pootatuck River",41.4149,-73.2827
18141,"Norwalk River",41.293,-73.45131
15205,"Tankerhoosen River",41.8294,-72.4482
15764,"Deep Brook",41.4082,-73.2867
15764,"Deep Brook",41.4082,-73.2867
15249,"Mashamoquet Brook",41.8592,-71.9828
