Monitoring Organization,Local RBV Program,code,Coordinator(s)
Three_Rivers_Community_College,Three Rivers Community College,TRCC,Diba Khan-Bureau
Eightmile_River_Wild_&_Scenic_Watershed,Eightmile River Wild & Scenic Watershed,8MILE,Pat Young
Vernon_Conservation_Commission,Vernon Conservation Commission,VCC,Carly Andrulat & Jeff Carlson
Greenwich_Inland_Wetlands_&_Watercourses_Agency,Greenwich Inland Wetlands & Watercourses Agency,GIWWA,Jenn Urena and Sarah Coccaro
Washington_Montessori_School,Washington Montessori School,WMS,Tom Fahsbender
Salmon_River_Watershed_Partnership,Salmon River Watershed Partnership,SRWP,Pat Young
Pomperaug_River_Watershed_Coalition,Pomperaug River Watershed Coalition,PRWC,Carol Haskins & Olivia DiPalermo
Trout_Unlimited_-_Candlewood_Valley_Chapter,Trout Unlimited - Candlewood Valley Chapter,CVTU,Paul Shafer
Farmington_River_Watershed_Association,Farmington River Watershed Association,FRWA,Heather Geist & Paige Vichiola
The_Last_Green_Valley,The Last Green Valley,TLGV,Emma MacDonald
Harbor Watch,Harbor Watch,HW,Marisa Olavarria
RHAM High School with SRWP,RHAM High School with SRWP,RHAM w/ SRWP,Pat Young
The Maritime Aquarium,The Maritime Aquarium,TMA,Bridget Cervero
Great Mountain Forest,Great Mountain Forest,GMF,Tom Fahsbender
SRWP with Coventry High School,Coventry High School with SRWP,CHS w/ SWRP,Pat Young
