Monitoring Location ID,Activity ID,Activity Start Date,Analysis Start Date,Subject Taxonomic Name,Laboratory Name,Result Comment
18390,2025003_BioResults,11/17/2025,11/17/2025,Ceratopsyche morosa,Spheros Environmental,Moderately Wanted Taxa
19458,2025049_BioResults,10/24/2025,10/24/2025,Ceratopsyche morosa,Spheros Environmental,Moderately Wanted Taxa
14396,2025029_BioResults,9/20/2025,9/20/2025,Ceratopsyche morosa,Spheros Environmental,Moderately Wanted Taxa
19713,2025002_BioResults,9/11/2025,9/11/2025,Ceratopsyche morosa,Spheros Environmental,Moderately Wanted Taxa
16657,2025035_BioResults,10/17/2025,10/17/2025,Maccaffertium,Spheros Environmental,Moderately Wanted Taxa
19458,2025042_BioResults,4/25/2025,4/25/2025,Maccaffertium,Spheros Environmental,Moderately Wanted Taxa
21121,2025036_BioResults,10/29/2025,10/29/2025,Maccaffertium,Spheros Environmental,Moderately Wanted Taxa
15312,2025041_BioResults,4/25/2025,4/25/2025,Maccaffertium,Spheros Environmental,Moderately Wanted Taxa
16123,2025044_BioResults,4/25/2025,4/25/2025,Maccaffertium,Spheros Environmental,Moderately Wanted Taxa
15314,2025045_BioResults,3/28/2025,3/28/2025,Maccaffertium,Spheros Environmental,Moderately Wanted Taxa
21114,2025046_BioResults,10/17/2025,10/17/2025,Maccaffertium,Spheros Environmental,Moderately Wanted Taxa
21113,2025047_BioResults,10/17/2025,10/17/2025,Maccaffertium,Spheros Environmental,Moderately Wanted Taxa
15314,2025048_BioResults,10/17/2025,10/17/2025,Maccaffertium,Spheros Environmental,Moderately Wanted Taxa
19458,2025049_BioResults,10/24/2025,10/24/2025,Maccaffertium,Spheros Environmental,Moderately Wanted Taxa
20883,2025051_BioResults,10/24/2025,10/24/2025,Maccaffertium,Spheros Environmental,Moderately Wanted Taxa
21112,2025052_BioResults,10/24/2025,10/24/2025,Maccaffertium,Spheros Environmental,Moderately Wanted Taxa
21120,2025037_BioResults,10/26/2025,10/26/2025,Maccaffertium,Spheros Environmental,Moderately Wanted Taxa
16484,2025038_BioResults,10/23/2025,10/23/2025,Maccaffertium,Spheros Environmental,Moderately Wanted Taxa
