"Monitoring Location ID","Activity ID","Activity Start Date","Activity Metric Score","Activity Metric Value","Activity Metric Comment"
16370,"2025001 _TaxaMostW",2025-09-16,4,4,"DEEP Field ID:  RBV-2025-001  / Taxonomy Lab ID:  R24-30080.4-1"
19713,"2025002 _TaxaMostW",2025-09-11,5,5,"DEEP Field ID:  RBV-2025-002  / Taxonomy Lab ID:  R24-30080.4-2"
18390,"2025003 _TaxaMostW",2025-11-17,5,5,"DEEP Field ID:  RBV-2025-003  / Taxonomy Lab ID:  R24-30080.4-3"
19146,"2025004 _TaxaMostW",2025-11-13,3,3,"DEEP Field ID:  RBV-2025-004  / Taxonomy Lab ID:  R24-30080.4-4"
16730,"2025005 _TaxaMostW",2025-10-26,0,0,"DEEP Field ID:  RBV-2025-005  / Taxonomy Lab ID:  R24-30080.4-5"
15554,"2025006 _TaxaMostW",2025-10-27,3,3,"DEEP Field ID:  RBV-2025-006  / Taxonomy Lab ID:  R24-30080.4-6"
21116,"2025007 _TaxaMostW",2025-10-13,1,1,"DEEP Field ID:  RBV-2025-007  / Taxonomy Lab ID:  R24-30080.4-7"
20799,"2025008 _TaxaMostW",2025-09-27,2,2,"DEEP Field ID:  RBV-2025-008  / Taxonomy Lab ID:  R24-30080.4-8"
16587,"2025009 _TaxaMostW",2025-10-20,2,2,"DEEP Field ID:  RBV-2025-009  / Taxonomy Lab ID:  R24-30080.4-9"
20805,"2025010 _TaxaMostW",2025-05-28,1,1,"DEEP Field ID:  RBV-2025-010  / Taxonomy Lab ID:  R24-30080.4-10"
18409,"2025011 _TaxaMostW",2025-10-23,3,3,"DEEP Field ID:  RBV-2025-011  / Taxonomy Lab ID:  R24-30080.4-11"
17978,"2025012 _TaxaMostW",2025-10-28,3,3,"DEEP Field ID:  RBV-2025-012  / Taxonomy Lab ID:  R24-30080.4-12"
20314,"2025013 _TaxaMostW",2025-11-08,4,4,"DEEP Field ID:  RBV-2025-013  / Taxonomy Lab ID:  R24-30080.4-13"
14298,"2025014 _TaxaMostW",2025-10-20,1,1,"DEEP Field ID:  RBV-2025-014  / Taxonomy Lab ID:  R24-30080.4-14"
