"staSeq","locationName","ylat","xlong"
16370,"Bunnell Brook",41.7807,-72.963
19713,"Eightmile River",41.452722,-72.336773
18390,"East Branch Eightmile River",41.426822,-72.331911
19146,"Stratton Brook",41.864463,-72.83479
16730,"Hawley Brook",41.7875,-72.9094
15554,"Morgan Brook",41.9125,-73.0175
21116,"Jim Brook",41.841616,-72.88257
20799,"Roaring Brook",41.760494,-72.882016
16587,"Converse Pond Brook",41.1056,-73.6511
20805,"Mianus River",41.06271,-73.57978
18409,"Fawn Brook",41.604581,-72.41875
17978,"Raymond Brook",41.6142,-72.3678
20314,"Round Hill Brook",41.376179,-73.15833
14298,"Mill River",41.208,-73.257
14445,"Saugatuck River",41.1693,-73.367
17172,"Wangum Lake Brook",41.9528,-73.2792
15375,"Aspetuck River",41.1769,-73.3579
20046,"Spruce Brook",41.487886,-73.268601
20378,"Wood Creek",41.629643,-73.229278
16333,"Bullet Hill Brook",41.4826,-73.2205
21118,"Plumb Brook",41.573937,-73.213086
17125,"Transylvania Brook",41.4956,-73.2575
20486,"Carmel Hill Brook",41.592244,-73.239002
21117,"South Branch Bullet Hill Brook",41.47625,-73.20298
19455,"Blackledge River",41.60413,-72.41969
20509,"Elbow Brook",41.518889,-72.4825
15045,"Judd Brook",41.6005,-72.373
18981,"Lyman Brook",41.63271,-72.45228
14396,"Pine Brook",41.5079,-72.4952
17022,"Salmon River",41.548315,-72.451615
16121,"Flat Brook",41.5544,-72.4523
20373,"Salmon River, Unnamed tributary to",41.548378,-72.451013
21115,"NNT to Blackledge River",41.602394,-72.410247
21119,"Sunset Hill Brook",41.973196,-71.868755
16657,"Fenton River",41.7831,-72.2031
21121,"Fall Brook",41.785297,-71.871811
21120,"Sawmill Brook",41.748606,-72.209738
16484,"Ballymahack Brook",41.7144,-72.1444
19252,"Keach Brook",41.929229,-71.802617
19000,"Beaver Brook",41.68217,-72.108798
15312,"Beaver Brook",41.409952,-72.329059
19458,"Roaring Brook #2",41.423478,-72.399106
20976,"NNT to Eightmile River",41.48322,-72.34044
16123,"Muddy Brook",41.4756,-72.342
15314,"Eightmile River, Unnamed tributary to (""PV Brook"")",41.4155,-72.3396
21114,"Harris Brook",41.48359,-72.2695
21113,"Ransom Brook",41.4549,-72.2385
15314,"Eightmile River, Unnamed tributary to (""PV Brook"")",41.4155,-72.3396
19458,"Roaring Brook #2",41.423478,-72.399106
15312,"Beaver Brook",41.409952,-72.329059
20883,"Harris Brook ",41.472591,-72.286191
21112,"NNT to Eightmile River",41.486667,-72.333611
20884,"Fraser Brook ",41.477781,-72.254441
15180,"East Branch Eightmile River",41.4795,-72.2819
19215,"East Branch Eightmile River, Unnamed tributary to (""Ransom Brook"")",41.454943,-72.283556
20884,"Fraser Brook ",41.477781,-72.254441
19214,"Harris Brook",41.487386,-72.27044
15280,"Pootatuck River",41.4149,-73.2827
18734,"Pootatuck river",41.419994,-73.282188
14406,"Pootatuck River",41.4064,-73.272
15205,"Tankerhoosen River",41.8294,-72.4482
20096,"Shepaug River, Unnamed tributary to (""Curtis Brook"")",41.6079,-73.3286
15128,"Kirby Brook",41.6173,-73.3227
