"Stream_Mun","staSeq","DATE_COL","Drunella","Isonychiidae","Epeorus","Peltoperlidae","Perlidae","Pteronarcyidae","MiscSmallStoneflies","Glossosomatidae","Apataniidae","Rhyacophilidae","Brachycentridae","Lepidostomatidae","Hydropsychidae","Philopotamidae","Heptageniidae","Psephenidae","Corydalidae","Anisoptera","Zygoptera","Amphipoda","Isopoda","Hirudinea","Chironimidae","Simuliidae","Gastropoda","Oligochaeta","Tipulidae","Elmidae","Baetidae","Athericidae","Planariidae","Bivalvia"
"Mill River (FAIRFIELD)",14298,2025-10-20, , , , , , , , , ,"X", , ,"X","X","X", , , , , , , , , , ,"X", ,"X","X", , , 
"Pine Brook (HADDAM)",14396,2025-09-20, , ,"X", ,"X", ,"X","X", , ,"X","X","X","X","X","X","X","X", , , , , , , , ,"X","X","X", , , 
"Pootatuck River (NEWTOWN)",14406,2025-10-16, ,"X", , ,"X", , , , ,"X", , ,"X","X","X", ,"X", , ,"X", , , , , ,"X","X", , , , , 
"Saugatuck River (WESTPORT)",14445,2025-11-13, ,"X","X", , , ,"X","X", ,"X", , ,"X","X","X","X","X", , ,"X", , , ,"X", , , ,"X", , , , 
"Judd Brook (HEBRON)",15045,2025-10-19, ,"X", , ,"X", , , , , ,"X", ,"X","X","X", ,"X","X","X", , , , , , ,"X","X", , ,"X", , 
"Kirby Brook (WASHINGTON)",15128,2025-10-30, ,"X", , ,"X","X","X","X", ,"X", , ,"X","X","X", ,"X", , , , , , , , ,"X","X", , , , , 
"East Branch Eightmile River (SALEM)",15180,2025-11-07, ,"X", , ,"X", ,"X", , , ,"X", , ,"X", , ,"X","X", , , , , , , , ,"X", , , , , 
"Tankerhoosen River (VERNON)",15205,2025-09-20, , , , ,"X", , , , , , , ,"X","X","X","X","X","X", , , , , ,"X", , , ,"X", , , , 
"Pootatuck River (NEWTOWN)",15280,2025-09-17, ,"X", , ,"X", , ,"X", , , , ,"X","X", ,"X","X","X", ,"X", , , ,"X", , ,"X", ,"X", , , 
"Beaver Brook (LYME)",15312,2025-10-24, ,"X", ,"X","X", , , , , , , ,"X", , ,"X","X","X", ,"X", , , , , , ,"X","X", , , , 
"Beaver Brook (LYME)",15312,2025-04-25,"X", , , ,"X", , , , ,"X", , ,"X", ,"X","X","X","X","X","X", , , , , , ,"X","X", , , , 
"Eightmile River, Unnamed tributary to (""PV Brook"") (LYME)",15314,2025-03-28, , , , ,"X", , , , , , , ,"X", ,"X", ,"X","X", ,"X", , , ,"X", ,"X","X","X", , , , 
"Eightmile River, Unnamed tributary to (""PV Brook"") (LYME)",15314,2025-10-17, , , ,"X","X", ,"X", , , ,"X", ,"X","X","X", , , ,"X", , , , , , , ,"X","X", , , , 
"Aspetuck River (WESTPORT)",15375,2025-10-16, ,"X","X", ,"X", , , , , , , ,"X","X","X","X","X", , , , , , , , ,"X", ,"X","X", , , 
"Morgan Brook (BARKHAMSTED)",15554,2025-10-27, ,"X", , ,"X", ,"X", , , , , ,"X","X","X","X","X","X", , , , , , , , ,"X", , , , , 
"Flat Brook (EAST HAMPTON)",16121,2025-09-06, ,"X","X","X","X", ,"X", , , , , ,"X","X","X","X","X","X", , , , , , , , ,"X","X", , , , 
"Muddy Brook (EAST HADDAM)",16123,2025-04-25, , ,"X","X","X", ,"X", , , , , ,"X","X","X", ,"X","X", , , , , ,"X", , ,"X", , , , , 
"Bullet Hill Brook (SOUTHBURY)",16333,2025-09-20, , , , , , , , , , , , ,"X","X", , , , , ,"X", , , , , , ,"X","X","X", , , 
"Bunnell Brook (BURLINGTON)",16370,2025-09-16, , ,"X", ,"X", , ,"X", ,"X", , ,"X","X","X", ,"X","X", , , , , , , ,"X","X","X","X", , , 
"Ballymahack Brook (WINDHAM)",16484,2025-10-23, , , ,"X","X", , , ,"X","X", ,"X","X","X","X","X","X","X","X", ,"X", , , , ,"X","X", , , , , 
"Converse Pond Brook (GREENWICH)",16587,2025-10-20, ,"X", , ,"X", , , , , , , ,"X","X","X", ,"X","X","X", , , , , , , ,"X", ,"X", , , 
"Fenton River (MANSFIELD)",16657,2025-10-17, ,"X","X","X","X", ,"X", , , , , ,"X","X","X","X","X","X", , , , , , , , ,"X","X","X", , , 
"Hawley Brook (AVON)",16730,2025-10-26, , , , , , , , , , , , ,"X","X","X", ,"X","X", , , , , , , , , , , , , , 
"Salmon River (COLCHESTER)",17022,2025-09-06, , ,"X", ,"X", ,"X", , , , , ,"X","X","X","X","X", , , , , , , , ,"X","X","X","X", , , 
