DEEPTaxaID,finalID_supplied,finalID_new
14,Hydropsyche morosa,Ceratopsyche morosa
766,Hydropsyche bronta,Ceratopsyche bronta
14,Hydropsyche morosa,Ceratopsyche morosa
1260,Perlesta,Perlesta
741,Tricyphona,Pedicia
768,Hydropsyche slossonae,Ceratopsyche slossonae
768,Hydropsyche slossonae,Ceratopsyche slossonae
769,Hydropsyche sparna,Ceratopsyche sparna
766,Hydropsyche bronta,Ceratopsyche bronta
1257,Helichus striatus,Helichus striatus
769,Hydropsyche sparna,Ceratopsyche sparna
768,Hydropsyche slossonae,Ceratopsyche slossonae
769,Hydropsyche sparna,Ceratopsyche sparna
14,Hydropsyche morosa,Ceratopsyche morosa
1258,Helichus suturalis,Helichus suturalis
1258,Helichus suturalis,Helichus suturalis
1256,Ptychoptera,Ptychoptera
538,Atylotus/Tabanus,Tabanidae
766,Hydropsyche bronta,Ceratopsyche bronta
1259,Drunella cornutella,Drunella cornutella
1259,Drunella cornutella,Drunella cornutella
769,Hydropsyche sparna,Ceratopsyche sparna
14,Hydropsyche morosa,Ceratopsyche morosa
683,Helodon/Prosimulium,Simuliidae
766,Hydropsyche bronta,Ceratopsyche bronta
1258,Helichus suturalis,Helichus suturalis
766,Hydropsyche bronta,Ceratopsyche bronta
