"ABUNDANCE","ADDITIONS","AGGREGATED","CLASS","CONDITION","CORRECTED","CTDEEP.LabID","DATE_COL","DEEPTaxaID","Device","DISTINCT","FAMILY","GENUS","Habitat","IMMATURE","INDETERMINATE","INFRACLASS","INFRAORDER","KINGDOM","LAB_COM","LAB_NAME","LAB_SAMPLE_ID","LAB_TIN","LIFE_STAGE","ORDER","PHYLUM","Rep","SAMPTYPE","SERIAL","SPECIES","staSeq","Stream","SUBCLASS","SUBFAMILY","SUBGENUS","SUBORDER","SUBPHYLUM","SUBSPECIES","SUBTRIBE","SUPERFAMILY","SUPERORDER","TAXON_NAME","TAXONOMIST","TRIBE","finalID"
1,,0,"Insecta","N",1,"RBV-2025-002",2025-09-11,"14 (Ceratopsyche morosa)","KN1M2","Y","Hydropsychidae","Hydropsyche","Riffle","N","N",,,"Animalia",,"Spheros Environmental","R24-30080.4-2",552,"Larvae","Trichoptera","Arthropoda",1,"ABM-RBV",115581,"Hydropsyche morosa",19713,"West Branch Eightmile River","Pterygota","Hydropsychinae",,,"Hexapoda",,,,,"Hydropsyche morosa","L. Smith",,"Hydropsyche morosa"
1,,0,"Insecta","N",1,"RBV-2025-003",2025-11-17,"766 (Ceratopsyche bronta)","KN1M2","Y","Hydropsychidae","Hydropsyche","Riffle","N","N",,,"Animalia",,"Spheros Environmental","R24-30080.4-3",547,"Larvae","Trichoptera","Arthropoda",1,"ABM-RBV",115578,"Hydropsyche bronta",18390,"East Branch Eightmile River","Pterygota","Hydropsychinae",,,"Hexapoda",,,,,"Hydropsyche bronta","L. Smith",,"Hydropsyche bronta"
1,,0,"Insecta","N",1,"RBV-2025-003",2025-11-17,"14 (Ceratopsyche morosa)","KN1M2","Y","Hydropsychidae","Hydropsyche","Riffle","N","N",,,"Animalia",,"Spheros Environmental","R24-30080.4-3",552,"Larvae","Trichoptera","Arthropoda",1,"ABM-RBV",115581,"Hydropsyche morosa",18390,"East Branch Eightmile River","Pterygota","Hydropsychinae",,,"Hexapoda",,,,,"Hydropsyche morosa","L. Smith",,"Hydropsyche morosa"
2,,0,"Insecta","N",2,"RBV-2025-010",2025-05-28,"338 (Family)","KN1M2","Y","Perlidae","Perlesta","Riffle","N","N",,,"Animalia",,"Spheros Environmental","R24-30080.4-10",1395,"Larvae","Plecoptera","Arthropoda",1,"ABM-RBV",103251,"sp.",20805,"Mianus River","Pterygota",,,,"Hexapoda",,,,,"Perlesta sp.","L. Smith",,"Perlesta"
1,,0,"Insecta","N",1,"RBV-2025-013",2025-11-08,"741 (Pedicia)","KN1M2","Y","Pediciidae","Tricyphona","Riffle","N","N",,,"Animalia",,"Spheros Environmental","R24-30080.4-13",15098,"Larvae","Diptera","Arthropoda",1,"ABM-RBV",121119,,20314,"Round Hill Brook",,,,,"Hexapoda",,,,,"Tricyphona","L. Smith",,"Tricyphona"
1,,0,"Insecta","N",1,"RBV-2025-016",2025-05-31,"768 (Ceratopsyche slossonae)","KN1M2","Y","Hydropsychidae","Hydropsyche","Riffle","N","N",,,"Animalia",,"Spheros Environmental","R24-30080.4-16",560,"Larvae","Trichoptera","Arthropoda",1,"ABM-RBV",115587,"Hydropsyche slossonae",17172,"Wangum Lake Brook","Pterygota","Hydropsychinae",,,"Hexapoda",,,,,"Hydropsyche slossonae","L. Smith",,"Hydropsyche slossonae"
1,,0,"Insecta","N",1,"RBV-2025-019",2025-09-21,"768 (Ceratopsyche slossonae)","KN1M2","Y","Hydropsychidae","Hydropsyche","Riffle","N","N",,,"Animalia",,"Spheros Environmental","R24-30080.4-19",560,"Larvae","Trichoptera","Arthropoda",1,"ABM-RBV",115587,"Hydropsyche slossonae",20378,"Wood Creek","Pterygota","Hydropsychinae",,,"Hexapoda",,,,,"Hydropsyche slossonae","L. Smith",,"Hydropsyche slossonae"
1,,0,"Insecta","N",1,"RBV-2025-019",2025-09-21,"769 (Ceratopsyche sparna)","KN1M2","Y","Hydropsychidae","Hydropsyche","Riffle","N","N",,,"Animalia",,"Spheros Environmental","R24-30080.4-19",561,"Larvae","Trichoptera","Arthropoda",1,"ABM-RBV",115527,"Hydropsyche sparna",20378,"Wood Creek","Pterygota","Hydropsychinae",,,"Hexapoda",,,,,"Hydropsyche sparna","L. Smith",,"Hydropsyche sparna"
1,,0,"Insecta","N",1,"RBV-2025-020",2025-09-20,"766 (Ceratopsyche bronta)","KN1M2","Y","Hydropsychidae","Hydropsyche","Riffle","N","N",,,"Animalia",,"Spheros Environmental","R24-30080.4-20",547,"Larvae","Trichoptera","Arthropoda",1,"ABM-RBV",115578,"Hydropsyche bronta",16333,"Bullet Hill Brook","Pterygota","Hydropsychinae",,,"Hexapoda",,,,,"Hydropsyche bronta","L. Smith",,"Hydropsyche bronta"
1,,0,"Insecta","N",1,"RBV-2025-021",2025-10-19,"493 (Family)","KN1M2","Y","Dryopidae","Helichus","Riffle","N","N",,,"Animalia",,"Spheros Environmental","R24-30080.4-21",426,"Adults","Coleoptera","Arthropoda",1,"ABM-RBV",114017,"Helichus striatus",21118,"Plum Brook","Pterygota",,,"Polyphaga","Hexapoda",,,,,"Helichus striatus","L. Smith",,"Helichus striatus"
