"DEEPTaxaID","finalID","SUPERPHYLUM","PHYLUM","SUBPHYLUM","INFRAPHYLUM","SUPERCLASS","CLASS","SUBCLASS","INFRACLASS","SUPERORDER","ORDER","SUBORDER","INFRAORDER","SUPERFAMILY","FAMILY","SUBFAMILY","TRIBE","SUBTRIBE","GENUS","SPECIES","Synonym","FFG","SensitiveEPT","BCG_Attribute","Tol","TolSource","common_name","Notes","AddedBy","AddedDate","UpdatedSynonym"
"14 (Ceratopsyche morosa)","Hydropsyche morosa",,"Arthropoda","Hexapoda",,,"Insecta","Pterygota",,,"Trichoptera",,,,"Hydropsychidae","Hydropsychinae",,,"Hydropsyche","Hydropsyche morosa",,,,,,,,,,,
"766 (Ceratopsyche bronta)","Hydropsyche bronta",,"Arthropoda","Hexapoda",,,"Insecta","Pterygota",,,"Trichoptera",,,,"Hydropsychidae","Hydropsychinae",,,"Hydropsyche","Hydropsyche bronta",,,,,,,,,,,
"14 (Ceratopsyche morosa)","Hydropsyche morosa",,"Arthropoda","Hexapoda",,,"Insecta","Pterygota",,,"Trichoptera",,,,"Hydropsychidae","Hydropsychinae",,,"Hydropsyche","Hydropsyche morosa",,,,,,,,,,,
"338 (Family)","Perlesta",,"Arthropoda","Hexapoda",,,"Insecta","Pterygota",,,"Plecoptera",,,,"Perlidae",,,,"Perlesta","sp.",,,,,,,,,,,
"741 (Pedicia)","Tricyphona",,"Arthropoda","Hexapoda",,,"Insecta",,,,"Diptera",,,,"Pediciidae",,,,"Tricyphona",,,,,,,,,,,,
"768 (Ceratopsyche slossonae)","Hydropsyche slossonae",,"Arthropoda","Hexapoda",,,"Insecta","Pterygota",,,"Trichoptera",,,,"Hydropsychidae","Hydropsychinae",,,"Hydropsyche","Hydropsyche slossonae",,,,,,,,,,,
"768 (Ceratopsyche slossonae)","Hydropsyche slossonae",,"Arthropoda","Hexapoda",,,"Insecta","Pterygota",,,"Trichoptera",,,,"Hydropsychidae","Hydropsychinae",,,"Hydropsyche","Hydropsyche slossonae",,,,,,,,,,,
"769 (Ceratopsyche sparna)","Hydropsyche sparna",,"Arthropoda","Hexapoda",,,"Insecta","Pterygota",,,"Trichoptera",,,,"Hydropsychidae","Hydropsychinae",,,"Hydropsyche","Hydropsyche sparna",,,,,,,,,,,
"766 (Ceratopsyche bronta)","Hydropsyche bronta",,"Arthropoda","Hexapoda",,,"Insecta","Pterygota",,,"Trichoptera",,,,"Hydropsychidae","Hydropsychinae",,,"Hydropsyche","Hydropsyche bronta",,,,,,,,,,,
"493 (Family)","Helichus striatus",,"Arthropoda","Hexapoda",,,"Insecta","Pterygota",,,"Coleoptera","Polyphaga",,,"Dryopidae",,,,"Helichus","Helichus striatus",,,,,,,,,,,
"769 (Ceratopsyche sparna)","Hydropsyche sparna",,"Arthropoda","Hexapoda",,,"Insecta","Pterygota",,,"Trichoptera",,,,"Hydropsychidae","Hydropsychinae",,,"Hydropsyche","Hydropsyche sparna",,,,,,,,,,,
"768 (Ceratopsyche slossonae)","Hydropsyche slossonae",,"Arthropoda","Hexapoda",,,"Insecta","Pterygota",,,"Trichoptera",,,,"Hydropsychidae","Hydropsychinae",,,"Hydropsyche","Hydropsyche slossonae",,,,,,,,,,,
