ABUNDANCE,ADDITIONS,AGGREGATED,CLASS,CONDITION,CORRECTED,CTDEEP.LabID,DATE_COL,DEEPTaxaID,Device,DISTINCT,FAMILY,GENUS,Habitat,IMMATURE,INDETERMINATE,INFRACLASS,INFRAORDER,KINGDOM,LAB_COM,LAB_NAME,LAB_SAMPLE_ID,LAB_TIN,LIFE_STAGE,ORDER,PHYLUM,Rep,SAMPTYPE,SERIAL,SPECIES,staSeq,Stream,SUBCLASS,SUBFAMILY,SUBGENUS,SUBORDER,SUBPHYLUM,SUBSPECIES,SUBTRIBE,SUPERFAMILY,SUPERORDER,finalID,TAXONOMIST,TRIBE,NOTES
1,NA,0,Insecta,N,1,RBV-2025-002,9/11/2025,14 (Ceratopsyche morosa),KN1M2,Y,Hydropsychidae,Hydropsyche,Riffle,N,N,NA,NA,Animalia,NA,Spheros Environmental,R24-30080.4-2,552,Larvae,Trichoptera,Arthropoda,1,ABM-RBV,115581,Hydropsyche morosa,19713,West Branch Eightmile River,Pterygota,Hydropsychinae,NA,NA,Hexapoda,NA,NA,NA,NA,Hydropsyche morosa,L. Smith,NA,
1,NA,0,Insecta,N,1,RBV-2025-003,11/17/2025,766 (Ceratopsyche bronta),KN1M2,Y,Hydropsychidae,Hydropsyche,Riffle,N,N,NA,NA,Animalia,NA,Spheros Environmental,R24-30080.4-3,547,Larvae,Trichoptera,Arthropoda,1,ABM-RBV,115578,Hydropsyche bronta,18390,East Branch Eightmile River,Pterygota,Hydropsychinae,NA,NA,Hexapoda,NA,NA,NA,NA,Hydropsyche bronta,L. Smith,NA,
1,NA,0,Insecta,N,1,RBV-2025-003,11/17/2025,14 (Ceratopsyche morosa),KN1M2,Y,Hydropsychidae,Hydropsyche,Riffle,N,N,NA,NA,Animalia,NA,Spheros Environmental,R24-30080.4-3,552,Larvae,Trichoptera,Arthropoda,1,ABM-RBV,115581,Hydropsyche morosa,18390,East Branch Eightmile River,Pterygota,Hydropsychinae,NA,NA,Hexapoda,NA,NA,NA,NA,Hydropsyche morosa,L. Smith,NA,
2,NA,0,Insecta,N,2,RBV-2025-010,5/28/2025,338 (Family),KN1M2,Y,Perlidae,Perlesta,Riffle,N,N,NA,NA,Animalia,NA,Spheros Environmental,R24-30080.4-10,1395,Larvae,Plecoptera,Arthropoda,1,ABM-RBV,103251,sp.,20805,Mianus River,Pterygota,NA,NA,NA,Hexapoda,NA,NA,NA,NA,Perlesta sp.,L. Smith,NA,
1,NA,0,Insecta,N,1,RBV-2025-013,11/8/2025,741 (Pedicia),KN1M2,Y,Pediciidae,Tricyphona,Riffle,N,N,NA,NA,Animalia,NA,Spheros Environmental,R24-30080.4-13,15098,Larvae,Diptera,Arthropoda,1,ABM-RBV,121119,NA,20314,Round Hill Brook,NA,NA,NA,NA,Hexapoda,NA,NA,NA,NA,Tricyphona,L. Smith,NA,
1,NA,0,Insecta,N,1,RBV-2025-016,5/31/2025,768 (Ceratopsyche slossonae),KN1M2,Y,Hydropsychidae,Hydropsyche,Riffle,N,N,NA,NA,Animalia,NA,Spheros Environmental,R24-30080.4-16,560,Larvae,Trichoptera,Arthropoda,1,ABM-RBV,115587,Hydropsyche slossonae,17172,Wangum Lake Brook,Pterygota,Hydropsychinae,NA,NA,Hexapoda,NA,NA,NA,NA,Hydropsyche slossonae,L. Smith,NA,
1,NA,0,Insecta,N,1,RBV-2025-019,9/21/2025,768 (Ceratopsyche slossonae),KN1M2,Y,Hydropsychidae,Hydropsyche,Riffle,N,N,NA,NA,Animalia,NA,Spheros Environmental,R24-30080.4-19,560,Larvae,Trichoptera,Arthropoda,1,ABM-RBV,115587,Hydropsyche slossonae,20378,Wood Creek,Pterygota,Hydropsychinae,NA,NA,Hexapoda,NA,NA,NA,NA,Hydropsyche slossonae,L. Smith,NA,
1,NA,0,Insecta,N,1,RBV-2025-019,9/21/2025,769 (Ceratopsyche sparna),KN1M2,Y,Hydropsychidae,Hydropsyche,Riffle,N,N,NA,NA,Animalia,NA,Spheros Environmental,R24-30080.4-19,561,Larvae,Trichoptera,Arthropoda,1,ABM-RBV,115527,Hydropsyche sparna,20378,Wood Creek,Pterygota,Hydropsychinae,NA,NA,Hexapoda,NA,NA,NA,NA,Hydropsyche sparna,L. Smith,NA,
1,NA,0,Insecta,N,1,RBV-2025-020,9/20/2025,766 (Ceratopsyche bronta),KN1M2,Y,Hydropsychidae,Hydropsyche,Riffle,N,N,NA,NA,Animalia,NA,Spheros Environmental,R24-30080.4-20,547,Larvae,Trichoptera,Arthropoda,1,ABM-RBV,115578,Hydropsyche bronta,16333,Bullet Hill Brook,Pterygota,Hydropsychinae,NA,NA,Hexapoda,NA,NA,NA,NA,Hydropsyche bronta,L. Smith,NA,
1,NA,0,Insecta,N,1,RBV-2025-021,10/19/2025,493 (Family),KN1M2,Y,Dryopidae,Helichus,Riffle,N,N,NA,NA,Animalia,NA,Spheros Environmental,R24-30080.4-21,426,Adults,Coleoptera,Arthropoda,1,ABM-RBV,114017,Helichus striatus,21118,Plum Brook,Pterygota,NA,NA,Polyphaga,Hexapoda,NA,NA,NA,NA,Helichus striatus,L. Smith,NA,
